Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.15146541617819463,American Indian or Alaska Native
Asian,0.3398637644289637,Asian
Black,0.17196830724796068,Black
Native Hawaiian or Other Pacific Islander,0.30766028309741885,Native Hawaiian or Other Pacific Islander
Other Race,0.4731995735194339,Other Race
White,0.39479797697161325,White
