County,Series Initiated,Series Completed
Polk,45957,47096
Linn,25698,20844
Scott,19326,10513
Johnson,18602,25364
Black Hawk,17860,12153
Woodbury,11786,7650
Dubuque,10945,11046
Pottawattamie,10555,9217
Story,9335,7673
Dallas,7700,5148
Cerro Gordo,6858,4980
Des Moines,4921,3232
Clinton,4734,1733
Warren,4376,2670
Webster,4041,3061
Muscatine,3626,1163
Wapello,3505,1746
Marshall,3442,1420
Bremer,3329,3005
Plymouth,3197,674
Lee,3150,2274
Sioux,3049,1891
Jasper,3047,3242
Marion,3000,1467
Boone,2780,1940
Poweshiek,2725,467
Tama,2556,737
Dickinson,2505,877
Fayette,2474,780
Jackson,2443,860
Clayton,2372,824
Benton,2360,1127
Washington,2343,539
Winneshiek,2332,1032
Mahaska,2324,644
Clay,2317,2174
Buena Vista,2315,771
Floyd,2310,441
Carroll,2301,1868
Page,2286,966
Buchanan,2253,764
Iowa,2225,584
Cedar,2203,715
Kossuth,2159,691
Madison,2018,575
Jones,1920,721
Crawford,1894,648
Cass,1886,715
Henry,1848,764
Hamilton,1823,735
Jefferson,1800,668
Allamakee,1753,605
O'Brien,1658,1013
Sac,1635,260
Hardin,1621,1029
Shelby,1584,808
Grundy,1521,592
Appanoose,1495,502
Mills,1475,853
Union,1431,524
Louisa,1426,214
Butler,1421,726
Calhoun,1385,566
Franklin,1364,352
Mitchell,1336,420
Cherokee,1323,751
Hancock,1322,371
Wright,1263,644
Delaware,1231,909
Chickasaw,1202,328
Guthrie,1188,472
Harrison,1155,536
Davis,1145,311
Lyon,1072,386
Lucas,1042,270
Emmet,1025,424
Winnebago,1022,461
Palo Alto,996,539
Greene,979,436
Montgomery,952,530
Wayne,915,503
Taylor,865,321
Decatur,813,274
Monona,781,363
Adair,777,217
Pocahontas,764,151
Humboldt,751,615
Monroe,728,575
Worth,687,267
Clarke,652,407
Ringgold,606,470
Osceola,594,234
Ida,594,422
Howard,577,388
Adams,568,265
Keokuk,561,320
Van Buren,551,182
Fremont,537,428
Audubon,512,521
Out of State,262,3621
