Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1872801875732708,American Indian or Alaska Native
Asian,0.39799569657271247,Asian
Black,0.22235666055189103,Black
Native Hawaiian or Other Pacific Islander,0.38488759367194005,Native Hawaiian or Other Pacific Islander
Other Race,0.571952440955058,Other Race
White,0.43852323124921308,White
