County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,21178,244931,13005,523648
Linn,7132,118330,8788,251320
Scott,6232,77499,6267,168730
Johnson,5593,88157,4272,185789
Black Hawk,4290,65306,6172,141288
Story,4184,47840,2810,101889
Pottawattamie,3808,43055,4865,95702
Woodbury,3774,41769,4914,91804
Dallas,3034,42748,2474,89634
Dubuque,2872,58590,2202,122058
Cerro Gordo,1783,24222,1955,52253
Des Moines,1642,17440,719,37286
Webster,1270,16524,1346,35926
Clinton,1263,16024,1589,34971
Warren,1123,16542,1015,35060
Muscatine,1011,13403,4964,32903
Marshall,986,13357,2896,30480
Lee,827,11631,1943,26270
Bremer,764,11942,1258,25901
Wapello,761,11732,927,25273
Marion,707,11708,4037,28303
Jasper,705,13599,1151,28853
Buena Vista,639,6747,3589,17821
Page,597,6561,845,14596
Jefferson,567,7164,974,15863
Boone,551,10980,575,23032
Emmet,542,4537,384,10120
Tama,536,8052,984,17702
Winneshiek,508,7908,1055,17348
Sioux,499,9755,2672,22690
Mills,488,5740,150,12146
Carroll,479,9438,1116,20646
Washington,474,7040,550,15108
Clay,460,8016,294,16730
Poweshiek,447,8956,431,18699
Mahaska,446,7223,572,15510
Henry,446,7103,1935,16639
Dickinson,445,7418,255,15535
Fayette,443,9869,927,21123
Cass,426,9999,429,21079
Plymouth,365,6907,2970,17191
Benton,363,7373,464,15580
Kossuth,318,5797,495,12446
Crawford,312,5940,1592,13808
Union,310,4753,312,10035
Allamakee,286,5494,117,11398
Grundy,283,4469,404,9637
Montgomery,283,3146,579,7173
Madison,274,6770,161,14048
Jackson,273,7874,259,16267
Appanoose,259,4116,480,9063
Buchanan,258,6094,339,12783
Wright,246,4749,1718,11443
Out of State,246,5210,1,10374
Floyd,244,6198,1063,13720
O'Brien,240,5159,351,10919
Clarke,235,4110,1365,9834
Harrison,233,3266,255,7033
Shelby,232,5635,141,11685
Jones,227,6058,904,13299
Hamilton,220,6781,409,14348
Cedar,217,6101,281,12670
Humboldt,209,3855,395,8463
Winnebago,208,3830,504,8390
Cherokee,205,4561,284,9618
Hardin,204,6034,1344,13673
Iowa,199,5598,621,12037
Delaware,198,4524,775,9986
Greene,186,4331,508,9429
Clayton,172,5927,664,12735
Guthrie,171,4282,267,9022
Wayne,163,2869,382,6391
Davis,158,3148,1663,8175
Lucas,155,3324,403,7296
Decatur,154,2807,123,5987
Palo Alto,153,3250,151,6830
Mitchell,147,4311,156,8945
Louisa,147,3162,1532,7992
Monroe,138,3133,299,6735
Franklin,119,3414,252,7208
Adair,118,2172,333,4748
Lyon,107,2935,77,6065
Chickasaw,103,2755,343,5949
Howard,103,2128,186,4528
Sac,88,3211,51,6580
Butler,86,3790,177,7863
Calhoun,78,4081,182,8455
Ida,76,1575,502,3725
Hancock,74,2965,719,6724
Van Buren,73,1407,119,3008
Adams,72,1642,10,3556
Monona,72,2102,211,4471
Taylor,71,2184,21,4489
Pocahontas,64,1867,152,3954
Ringgold,62,2058,6,4239
Fremont,62,1593,98,3346
Worth,40,1714,1,3466
Keokuk,33,1584,100,3299
Osceola,32,1484,177,3175
Audubon,22,2000,101,4123
