RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,493753,20049,230541,12622
19161,7943,139,3735,334
19027,19326,395,8969,993
19013,119263,3852,55057,5297
19017,23411,666,10857,1031
19019,17461,488,8183,607
19195,5904,123,2802,177
19033,40765,1237,18945,1638
19081,8060,147,3730,453
19169,98204,3496,46020,2668
19139,36538,1157,15790,3801
19165,10780,201,5181,217
19009,5220,88,2492,148
19191,19660,460,9166,868
19103,173513,4759,82028,4698
19065,16804,461,7893,557
19061,100384,1958,48362,1702
19147,7162,180,3382,218
19183,19364,539,9069,687
19193,78577,3095,35508,4466
19003,3051,78,1458,57
19173,4541,100,2185,71
19041,13299,326,6296,381
19125,25437,707,11310,2110
19123,14282,429,6539,775
19157,17162,460,8130,442
19099,32798,991,15128,1551
19073,7797,231,3530,506
19113,232505,6777,108778,8172
19171,15466,473,7101,791
19109,12465,360,5783,539
19187,31381,957,14549,1326
19011,22765,609,10634,888
19045,37105,1121,17297,1390
19067,12826,359,5983,501
19189,8388,220,3797,574
19131,8164,163,3905,191
19029,11827,270,5603,351
19135,5475,148,2507,313
19049,93892,3225,44176,2315
19127,36804,1305,16475,2549
19063,7458,353,3397,311
19159,4090,71,1990,39
19115,7813,213,3290,1020
19163,140991,4949,65457,5128
19149,18938,500,8184,2070
19059,16242,421,7782,257
19093,4964,132,2218,396
19015,26613,752,12569,723
19141,10894,240,5073,508
19075,11840,316,5530,464
19091,7352,163,3419,351
19151,5422,157,2529,207
19055,13875,314,6366,829
19101,13564,482,6189,704
19005,10541,316,5004,217
19181,47002,1571,22074,1283
19025,9010,183,4248,331
19083,14242,283,6526,907
19069,8244,207,3837,363
19023,13381,314,6324,419
19133,7147,143,3392,220
19085,10635,359,4963,350
19137,8283,279,3742,520
19111,24275,766,11005,1499
19197,10719,233,4795,896
19179,24491,767,10711,2302
19121,13636,365,6476,319
19143,4285,85,2000,200
19051,5075,166,2378,153
19047,12660,311,5522,1305
19145,12324,448,5683,510
19043,13392,229,6298,567
19057,29794,1140,13891,872
19007,8879,254,4107,411
19107,7284,161,3415,293
19077,9844,325,4596,327
19129,11673,391,5504,274
19021,16262,593,6353,2963
19087,15355,444,6686,1539
19079,14250,332,6628,662
19035,9450,218,4439,354
19001,5565,152,2548,317
19037,9752,226,4426,674
19095,15763,408,7340,675
19167,21638,510,9747,1634
19089,7029,164,3206,453
19119,6746,109,3236,165
19185,4126,177,1892,165
19039,7198,247,3126,699
19097,16390,326,7848,368
19155,73740,2808,34415,2102
19117,5891,142,2683,383
19031,17415,444,8156,659
19175,9785,307,4613,252
19071,4969,125,2323,198
19053,4776,132,2209,226
19177,4407,111,2050,196
19105,18993,391,8797,1008
,86,4,38,6
