County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,28485,259021,15447,561567
Linn,10316,123601,9630,265874
Scott,8406,81448,6759,179274
Johnson,7079,91147,4610,193649
Black Hawk,6319,68649,6406,150226
Woodbury,5697,44641,5071,99624
Pottawattamie,5515,45361,4992,102160
Story,5090,49827,3231,107190
Dallas,4577,45162,2819,96362
Dubuque,4202,60894,2417,128217
Cerro Gordo,2647,25470,2116,55776
Des Moines,2231,18568,795,40220
Clinton,1884,17046,1710,37772
Webster,1766,17454,1435,38351
Warren,1598,17216,1144,37009
Marshall,1487,14190,3243,32971
Muscatine,1404,14140,5245,35042
Lee,1317,12337,2189,28410
Wapello,1252,12373,1049,27167
Buena Vista,1152,7296,3858,19703
Marion,1141,12271,4160,30003
Jasper,1079,14178,1220,30447
Bremer,1002,12608,1468,27681
Sioux,884,10193,2788,24068
Page,803,6883,855,15452
Winneshiek,779,8342,1071,18498
Jefferson,773,7542,1003,16853
Carroll,754,9889,1253,21957
Henry,737,7472,2079,17804
Boone,713,11470,607,24189
Washington,702,7397,594,16102
Clay,687,8340,313,17616
Tama,673,8207,985,18164
Mahaska,672,7576,589,16465
Poweshiek,662,9257,477,19558
Dickinson,654,7763,285,16469
Fayette,651,10170,960,21952
Crawford,617,6231,1608,14713
Emmet,612,4659,417,10477
Cass,601,10267,473,21841
Mills,595,5934,171,12666
Plymouth,590,7202,2995,18024
Buchanan,538,6408,374,13717
Benton,521,7617,484,16243
Union,508,4996,356,10759
Jackson,506,8158,303,17106
Grundy,473,4655,510,10295
Appanoose,456,4254,516,9571
Floyd,454,6458,1220,14602
Montgomery,441,3314,605,7699
Hardin,422,6248,1351,14343
Kossuth,422,6003,528,12995
Allamakee,412,5726,128,12008
Harrison,406,3313,271,7319
Delaware,398,4731,822,10647
Jones,392,6284,993,13999
Clarke,382,4328,1387,10436
Hamilton,377,7008,422,14975
O'Brien,376,5338,402,11456
Madison,364,6993,189,14618
Cherokee,360,4736,372,10211
Shelby,353,5869,184,12313
Wright,338,4972,1812,12076
Humboldt,312,3975,436,8853
Cedar,308,6299,299,13174
Winnebago,297,4011,513,8852
Greene,289,4434,525,9754
Clayton,284,6008,669,13014
Guthrie,278,4406,321,9435
Mitchell,260,4471,192,9419
Out of State,240,5210,1,10383
Franklin,236,3508,280,7540
Howard,233,2204,229,4852
Davis,226,3276,1697,8529
Lucas,225,3432,441,7618
Palo Alto,224,3355,169,7128
Iowa,223,5724,653,12342
Decatur,205,2899,137,6235
Wayne,201,2926,409,6573
Louisa,179,3231,1571,8206
Monroe,177,3252,373,7086
Adair,176,2219,344,4911
Calhoun,154,4093,221,8592
Chickasaw,149,2822,362,6146
Lyon,148,3012,114,6296
Hancock,147,3020,745,6930
Sac,146,3227,70,6692
Ringgold,125,2128,6,4444
Ida,125,1608,537,3874
Monona,122,2161,231,4658
Taylor,119,2249,36,4681
Butler,111,3826,193,7972
Pocahontas,103,1917,179,4125
Fremont,97,1616,98,3427
Adams,83,1673,20,3640
Van Buren,69,1420,131,3044
Worth,68,1755,1,3576
Keokuk,63,1614,100,3389
Audubon,61,2028,101,4216
Osceola,50,1521,199,3291
