RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,507324,18865,237580,13291
19161,8048,155,3776,341
19027,19590,410,9083,1014
19013,122305,3617,56624,5439
19017,23905,627,11110,1058
19019,17935,421,8438,638
19103,176121,4480,83358,4926
19195,6057,116,2875,191
19033,41735,1190,19407,1733
19081,8205,152,3795,463
19169,99824,3388,46836,2765
19139,37487,1218,16111,4046
19165,10968,230,5254,230
19009,5312,78,2540,154
19191,20029,424,9355,895
19065,17110,456,8030,594
19061,101838,1982,49032,1793
19147,7295,179,3442,232
19183,19778,555,9255,713
19003,3107,77,1484,62
19173,4640,109,2227,77
19041,13529,332,6397,403
19125,26012,755,11556,2145
19123,14616,451,6678,809
19157,17498,460,8287,464
19099,33563,916,15528,1591
19073,7947,221,3604,518
19113,237315,6349,111230,8505
19049,96440,3063,45489,2407
19193,80973,3205,36566,4636
19171,15798,485,7231,851
19109,12716,328,5913,562
19187,32039,1057,14794,1394
19011,23150,575,10836,903
19045,38274,1333,17741,1459
19067,13082,330,6102,547
19189,8534,222,3865,582
19131,8329,150,3985,209
19029,12039,301,5688,361
19135,5580,130,2563,324
19127,37804,1210,16960,2673
19063,7577,348,3458,313
19159,4148,82,2013,40
19115,8003,242,3357,1048
19163,144513,4859,67179,5296
19149,19345,511,8359,2116
19059,16498,433,7895,276
19093,5085,117,2278,413
19015,27142,735,12827,752
19141,11069,223,5159,528
19075,12042,364,5595,488
19091,7465,182,3458,367
19151,5572,123,2613,223
19055,14129,310,6487,845
19101,13862,487,6329,717
19005,10712,301,5090,231
19181,47971,1562,22523,1363
19025,9139,201,4295,348
19083,14461,307,6614,926
19069,8385,215,3897,376
19023,13617,291,6441,444
19133,7226,164,3411,240
19085,10803,372,5034,363
19137,8437,302,3803,529
19111,24917,655,11348,1565
19197,10917,279,4863,912
19179,25159,726,11018,2397
19121,13947,399,6605,339
19143,4368,82,2032,222
19051,5208,146,2450,162
19047,12971,330,5659,1322
19145,12550,463,5775,537
19043,13544,237,6361,585
19057,30578,1228,14227,895
19007,9036,252,4180,424
19107,7422,167,3476,303
19077,10078,274,4730,344
19129,11889,394,5608,280
19021,16758,595,6580,3004
19087,15717,480,6818,1601
19079,14556,361,6758,679
19035,9602,232,4498,374
19001,5637,154,2581,321
19037,9919,199,4511,699
19095,16060,401,7477,705
19167,22068,505,9936,1691
19089,7175,163,3269,474
19119,6846,112,3279,176
19185,4252,116,1981,174
19039,7410,253,3223,711
19155,75643,2680,35405,2153
19117,6031,136,2744,407
19031,17759,426,8332,670
19175,10005,310,4711,273
19071,5031,131,2351,198
19053,4885,140,2256,233
19177,4495,132,2073,218
19097,16692,359,7977,379
19105,19308,380,8944,1040
,88,7,38,5
