County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,31640,71953,598,177535
Linn,22854,32631,2746,89838
Scott,17943,20274,198,59163
Johnson,15733,32488,174,81318
Black Hawk,14379,20361,2079,57326
Dubuque,13143,16299,310,46039
Woodbury,12005,11772,100,35266
Pottawattamie,9949,14209,2985,42075
Story,9492,11293,320,32275
Cerro Gordo,8568,6553,998,22535
Dallas,5479,9067,1042,24108
Des Moines,4444,5906,94,16174
Clinton,4158,3645,98,11544
Muscatine,4103,2406,1293,10193
Webster,3721,4660,255,13281
Marion,3577,2619,514,9318
Warren,3424,4747,84,12714
Cass,3402,1166,0,5732
Wapello,3382,3081,0,9540
Fayette,3339,1779,200,7083
Bremer,3275,4101,110,11539
Lee,3242,3417,186,10422
Marshall,3185,2681,1576,10095
Jackson,3171,1744,0,6656
Tama,2874,1562,556,6448
Poweshiek,2811,1090,0,4997
Sioux,2770,2979,968,9690
Allamakee,2582,961,0,4502
Dickinson,2458,1597,0,5646
Washington,2454,1055,1,4564
Benton,2419,1645,0,5711
Boone,2411,3024,97,8514
Clay,2401,3061,0,8450
Jasper,2334,4590,101,11364
Clayton,2315,1568,0,5452
Buena Vista,2298,1409,2384,7564
Mahaska,2278,1409,0,5088
Page,2216,1292,85,4880
Winneshiek,2182,1748,1,5673
Henry,2177,1491,104,5284
Cedar,2011,1637,0,5285
Buchanan,1950,1649,0,5243
Floyd,1949,1424,144,4927
Hardin,1913,1521,0,4945
Hamilton,1908,1466,0,4836
Carroll,1905,2824,100,7674
Madison,1868,1398,0,4665
Emmet,1843,695,0,3252
Shelby,1820,1208,0,4239
Plymouth,1766,2348,2113,8574
Crawford,1732,1370,1267,5733
Iowa,1709,1439,0,4586
Jefferson,1678,1466,95,4703
O'Brien,1672,1433,0,4544
Kossuth,1636,1778,0,5190
Appanoose,1551,1016,0,3570
Mills,1532,1282,0,4098
Butler,1529,1157,0,3839
Calhoun,1469,1184,0,3835
Union,1414,985,0,3383
Jones,1404,1631,0,4711
Mitchell,1397,802,0,3003
Cherokee,1394,1209,75,3884
Delaware,1318,1382,99,4179
Grundy,1244,1421,0,4088
Palo Alto,1239,906,0,3052
Wright,1228,1061,1286,4634
Guthrie,1203,978,0,3147
Louisa,1192,730,1389,4038
Franklin,1168,894,0,2954
Hancock,1149,739,0,2623
Winnebago,1043,857,0,2754
Sac,1039,1140,0,3319
Chickasaw,1017,718,0,2449
Davis,1008,778,1351,3906
Decatur,1007,595,0,2173
Monroe,1003,725,99,2545
Lyon,985,768,0,2521
Wayne,977,850,0,2678
Humboldt,958,747,0,2450
Taylor,906,693,0,2288
Lucas,889,756,94,2486
Greene,889,820,100,2627
Harrison,870,1159,0,3187
Montgomery,856,849,98,2651
Clarke,838,617,1108,3160
Adair,713,545,0,1800
Van Buren,678,210,0,1097
Adams,665,485,0,1635
Audubon,610,742,0,2094
Pocahontas,604,510,85,1708
Howard,600,594,0,1787
Monona,594,687,0,1963
Ringgold,573,761,0,2083
Ida,566,560,0,1694
Fremont,484,581,0,1645
Worth,479,592,0,1660
Osceola,414,533,0,1481
Keokuk,402,582,0,1565
Out of State,264,3636,0,7560
