ADMIN_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19125,15362,11375,3987
19013,68801,62834,5967
19017,12750,11559,1191
19153,243799,232127,11672
19021,9998,6484,3514
19163,80370,74435,5935
19127,15450,12734,2716
19113,122729,114418,8311
19159,2027,2023,4
19075,4777,4402,375
19123,7563,7053,510
19049,43583,41225,2358
19109,6056,5584,472
19157,9132,8725,407
19197,6309,4604,1705
19103,89191,85127,4064
19095,6057,5459,598
19015,11121,10588,533
19081,3630,2921,709
19193,44937,40226,4711
19003,1630,1622,8
19045,16717,15238,1479
19029,10274,9857,417
19167,12153,9534,2619
19051,4796,3139,1657
19155,46063,41281,4782
19097,7981,7730,251
19099,14327,13213,1114
19069,3579,3340,239
19033,25231,23465,1766
19189,4231,3738,493
19073,4705,4209,496
19025,4224,4055,169
19187,17292,16037,1255
19019,6257,5950,307
19183,7366,6843,523
19089,2188,2024,164
19137,3618,3050,568
19169,49017,46344,2673
19117,3652,3269,383
19139,17637,12819,4818
19171,8861,7892,969
19047,7355,5779,1576
19151,1981,1836,145
19141,5371,5043,328
19079,7050,6649,401
19085,3471,3231,240
19065,10605,9705,900
19181,16919,15985,934
19105,6766,5903,863
19145,7211,6438,773
19007,4505,4035,470
19031,6265,5990,275
19027,10234,9156,1078
19149,9650,6734,2916
19023,3930,3769,161
19057,17412,16721,691
19043,6536,5884,652
19061,59285,57230,2055
19035,4731,4479,252
19055,5166,4414,752
19091,4160,3786,374
19129,5764,5620,144
19041,8117,7873,244
19077,4437,4199,238
19173,2179,2162,17
19119,2984,2914,70
19185,3216,2841,375
19083,7233,5922,1311
19111,13048,11226,1822
19147,3346,3201,145
19121,6839,6685,154
19165,5650,5526,124
19071,1676,1578,98
19131,4374,4232,142
19195,1681,1680,1
19009,2037,1936,101
19005,5508,5401,107
19093,2015,1526,489
19179,12182,11368,814
19175,4868,4588,280
19143,1617,1457,160
19101,7876,6941,935
19067,7076,6064,1012
19063,4831,4462,369
19177,1505,1394,111
19039,5335,3983,1352
19191,8567,7585,982
19053,2882,2764,118
19059,7485,7250,235
19135,3352,3072,280
,5211,5210,1
19087,8774,6926,1848
19161,3246,3197,49
19037,3045,2715,330
19011,7664,7208,456
19107,1665,1565,100
19115,4641,3122,1519
19133,2276,2086,190
19001,2473,2146,327
