County,Number of Doses
Polk,579392
Linn,265513
Johnson,190483
Scott,165750
Black Hawk,140148
Dubuque,111731
Story,109996
Dallas,109490
Woodbury,95323
Pottawattamie,88313
Warren,54599
Cerro Gordo,47466
Marshall,43864
Clinton,43594
Muscatine,42809
Jasper,38449
Webster,36483
Des Moines,35762
Boone,30283
Marion,30189
Wapello,29423
Lee,28785
Bremer,26772
Benton,26359
Sioux,25351
Plymouth,22313
Winneshiek,22172
Washington,22160
Carroll,21700
Jones,21452
Buena Vista,21197
Buchanan,20607
Cedar,19835
Poweshiek,19678
Fayette,19401
Jackson,18792
Dickinson,18347
Henry,18174
Tama,18112
Iowa,18040
Mahaska,17050
Hardin,16436
Hamilton,16377
Delaware,16259
Madison,15900
Jefferson,15649
Clay,15348
Butler,15241
Crawford,15160
Floyd,14889
Clayton,14758
Page,14194
Kossuth,13968
Grundy,13672
Mills,13557
Cass,13365
O'Brien,12427
Wright,12377
Allamakee,12305
Shelby,12199
Harrison,12181
Chickasaw,11333
Union,11332
Guthrie,11274
Cherokee,10873
Appanoose,10338
Calhoun,10257
Montgomery,9698
Franklin,9682
Winnebago,9542
Mitchell,9520
Louisa,9459
Hancock,9339
Sac,9209
Greene,9100
Clarke,8656
Emmet,8508
Humboldt,8465
Keokuk,8432
Howard,8239
Palo Alto,8114
Monona,8109
Lyon,7601
Worth,6974
Lucas,6823
Pocahontas,6335
Adair,6290
Monroe,6231
Davis,5872
Ida,5861
Audubon,5832
Decatur,5625
Fremont,5584
Van Buren,5259
Taylor,5176
Wayne,4829
Osceola,4778
Ringgold,4722
Adams,3523
.,82
