Age Group Public,RECIP_ID
0 - 11,17
12 - 15,110415
16 - 17,66298
18 - 19,74171
20 - 29,362150
30 - 39,398028
40 - 49,408340
50 - 59,494192
60 - 64,302480
65+,932225
