County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,21311,247733,13255,529637
Linn,7147,119235,8941,253306
Scott,6290,78237,6341,170332
Johnson,5621,88729,4317,187019
Black Hawk,4367,65926,6232,142659
Story,4207,48241,2868,102742
Woodbury,3951,42250,4961,92986
Pottawattamie,3831,43501,4889,96642
Dallas,3137,43180,2523,90637
Dubuque,3008,58909,2245,122875
Cerro Gordo,1828,24418,1990,52731
Des Moines,1714,17598,727,37688
Clinton,1558,16221,1604,35680
Webster,1344,16637,1355,36252
Warren,1170,16639,1042,35325
Muscatine,1046,13515,4999,33197
Marshall,1011,13538,2959,30922
Lee,827,11771,1968,26574
Bremer,782,12032,1281,26123
Wapello,778,11861,960,25579
Marion,767,11789,4043,28532
Jasper,687,13736,1159,29115
Buena Vista,621,6866,3591,18042
Page,610,6607,848,14703
Jefferson,574,7239,981,16028
Boone,574,11041,577,23178
Emmet,549,4556,386,10166
Tama,530,8066,984,17734
Sioux,511,9831,2695,22876
Carroll,509,9504,1130,20825
Washington,508,7089,554,15254
Winneshiek,498,7985,1062,17498
Mills,488,5775,150,12217
Mahaska,480,7266,575,15636
Henry,480,7149,1949,16779
Fayette,470,9906,934,21229
Dickinson,462,7478,258,15675
Poweshiek,458,9011,440,18829
Clay,455,8059,307,16826
Cass,441,10035,437,21178
Plymouth,389,6943,2979,17296
Benton,349,7418,464,15658
Crawford,342,5983,1591,13923
Kossuth,328,5831,499,12525
Grundy,322,4488,423,9733
Jackson,320,7913,263,16392
Union,317,4798,319,10137
Montgomery,296,3172,583,7243
Buchanan,293,6131,343,12892
Allamakee,290,5517,119,11451
Madison,281,6791,162,14101
Wright,273,4763,1725,11506
Appanoose,267,4141,483,9124
Floyd,261,6228,1091,13825
Shelby,254,5669,146,11779
Clarke,245,4145,1365,9916
Out of State,244,5211,1,10375
Jones,244,6090,911,13384
Harrison,243,3268,257,7049
O'Brien,242,5194,358,10996
Hamilton,233,6821,411,14445
Winnebago,231,3851,506,8455
Cedar,231,6128,289,12744
Hardin,225,6076,1347,13783
Humboldt,217,3874,401,8516
Cherokee,215,4589,292,9692
Delaware,210,4546,781,10048
Iowa,200,5627,624,12098
Greene,193,4344,512,9466
Clayton,183,5932,669,12760
Guthrie,169,4306,279,9079
Palo Alto,164,3270,159,6888
Wayne,164,2877,388,6414
Decatur,159,2822,123,6022
Davis,154,3173,1667,8220
Lucas,148,3354,417,7362
Mitchell,145,4346,166,9023
Monroe,142,3153,306,6786
Louisa,142,3174,1538,8020
Franklin,139,3421,256,7246
Adair,114,2181,333,4762
Chickasaw,110,2761,345,5969
Lyon,110,2953,79,6107
Howard,109,2136,189,4553
Sac,88,3215,52,6589
Butler,86,3793,177,7871
Ida,85,1581,506,3750
Taylor,83,2196,24,4528
Monona,79,2107,218,4494
Calhoun,78,4082,187,8461
Hancock,76,2979,718,6752
Van Buren,76,1409,126,3022
Adams,74,1647,10,3568
Ringgold,73,2063,6,4263
Pocahontas,72,1871,159,3978
Fremont,59,1599,98,3355
Worth,43,1723,1,3487
Audubon,37,2000,101,4138
Osceola,37,1493,181,3202
Keokuk,30,1594,100,3316
