ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,256935,244118,12817
19021,10297,6724,3573
19027,10523,9413,1110
19049,45066,42607,2459
19181,17509,16511,998
19013,71283,65135,6148
19033,26018,24091,1927
19169,50523,47730,2793
19195,1713,1712,1
19083,7367,6026,1341
19189,4323,3820,503
19155,47763,42912,4851
19139,18296,13354,4942
19009,2101,2000,101
19005,5595,5480,115
19099,14688,13544,1144
19103,92171,87908,4263
19017,13138,11891,1247
19065,10770,9851,919
19061,60639,58451,2188
19041,8282,7996,286
19147,3392,3242,150
19193,46451,41576,4875
19003,1651,1641,10
19173,2198,2178,20
19175,5052,4743,309
19067,7238,6185,1053
19063,4917,4533,384
19035,4822,4545,277
19123,7769,7207,562
19183,7570,7027,543
19179,12610,11694,916
19073,4824,4319,505
19113,126791,118051,8740
19019,6411,6072,339
19101,8116,7145,971
19127,16181,13312,2869
19109,6275,5786,489
19187,17803,16476,1327
19037,3097,2754,343
19011,7827,7363,464
19045,17562,15980,1582
19081,3684,2965,719
19131,4465,4309,156
19029,10407,9978,429
19135,3424,3128,296
19059,7660,7411,249
19159,2055,2049,6
19163,83547,77310,6237
19125,15716,11686,4030
19149,9846,6890,2956
19015,11534,10962,572
19141,5497,5150,347
19091,4235,3850,385
19151,2014,1863,151
19055,5284,4515,769
19031,6373,6092,281
19167,12386,9727,2659
19143,1652,1479,173
19161,3256,3206,50
19069,3658,3409,249
19133,2306,2102,204
19075,4857,4457,400
19171,9031,8047,984
19137,3720,3141,579
19111,13537,11610,1927
19197,6463,4746,1717
19047,7510,5919,1591
19077,4534,4273,261
19093,2070,1574,496
19051,4806,3147,1659
19025,4261,4080,181
19145,7393,6548,845
19057,18110,17394,716
19007,4591,4113,478
19157,9363,8933,430
19191,8928,7892,1036
19023,3949,3776,173
19087,9007,7087,1920
19001,2498,2167,331
19079,7185,6776,409
19095,6208,5590,618
19119,3010,2933,77
19043,6589,5925,664
19117,3712,3315,397
19039,5465,4100,1365
19107,1684,1584,100
19165,5762,5622,140
19185,3246,2866,380
19115,4688,3160,1528
19053,2922,2801,121
19177,1517,1404,113
19121,6918,6761,157
19085,3497,3246,251
,5212,5211,1
19105,6934,6034,900
19097,8126,7867,259
19129,5877,5727,150
19089,2306,2123,183
19071,1687,1589,98
