County,Number of Doses
Polk,588170
Linn,268756
Johnson,192899
Scott,169619
Black Hawk,141937
Dubuque,113017
Story,111587
Dallas,111116
Woodbury,96961
Pottawattamie,89978
Warren,55454
Cerro Gordo,48221
Marshall,44575
Clinton,44192
Muscatine,43736
Jasper,39112
Webster,37037
Des Moines,36340
Marion,30762
Boone,30639
Wapello,29959
Lee,29365
Bremer,27106
Benton,26703
Sioux,25723
Plymouth,22734
Winneshiek,22527
Washington,22491
Carroll,22013
Jones,21742
Buena Vista,21535
Buchanan,20883
Cedar,20096
Poweshiek,20083
Fayette,19660
Jackson,19032
Dickinson,18643
Henry,18554
Tama,18460
Iowa,18389
Mahaska,17373
Hardin,16697
Hamilton,16646
Delaware,16568
Madison,16089
Jefferson,15875
Clay,15661
Crawford,15483
Butler,15403
Floyd,15179
Clayton,14980
Page,14550
Kossuth,14150
Grundy,13761
Mills,13745
Cass,13575
O'Brien,12605
Wright,12550
Allamakee,12501
Harrison,12333
Shelby,12313
Union,11528
Chickasaw,11479
Guthrie,11420
Cherokee,11051
Appanoose,10512
Calhoun,10415
Franklin,9850
Montgomery,9828
Winnebago,9708
Mitchell,9657
Louisa,9653
Hancock,9448
Sac,9356
Greene,9233
Clarke,8827
Emmet,8668
Humboldt,8608
Keokuk,8587
Howard,8371
Palo Alto,8253
Monona,8231
Lyon,7719
Worth,7085
Lucas,6980
Pocahontas,6420
Adair,6395
Monroe,6312
Ida,5978
Davis,5961
Audubon,5912
Decatur,5735
Fremont,5651
Van Buren,5400
Taylor,5249
Wayne,4926
Osceola,4855
Ringgold,4783
Adams,3626
.,137
