RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,259817,245290,14527
19161,4215,3844,371
19027,10344,9276,1068
19013,64065,58383,5682
19017,12525,11415,1110
19019,9345,8679,666
19103,89959,84778,5181
19195,3150,2953,197
19033,21805,19968,1837
19081,4374,3882,492
19169,50810,47837,2973
19139,20862,16578,4284
19165,5623,5372,251
19009,2746,2583,163
19191,10468,9549,919
19065,8849,8225,624
19061,51959,50071,1888
19147,3753,3510,243
19183,10239,9483,756
19003,1585,1512,73
19173,2372,2288,84
19041,6973,6563,410
19125,14138,11896,2242
19123,7742,6895,847
19157,8960,8481,479
19099,17626,15946,1680
19073,4225,3689,536
19113,123015,113998,9017
19049,49440,46807,2633
19193,42789,38055,4734
19171,8312,7415,897
19109,6637,6047,590
19187,16770,15263,1507
19011,12081,11131,950
19141,5813,5255,558
19045,19877,18331,1546
19067,6866,6253,613
19189,4561,3967,594
19131,4306,4077,229
19029,6236,5844,392
19135,2981,2624,357
19127,20313,17423,2890
19063,3855,3528,327
19159,2101,2055,46
19115,4586,3495,1091
19163,74815,69213,5602
19149,10751,8607,2144
19059,8359,8062,297
19093,2757,2326,431
19015,14006,13174,832
19075,6255,5704,551
19091,3943,3543,400
19151,2911,2669,242
19055,7517,6627,890
19101,7243,6505,738
19005,5462,5225,237
19181,24668,23148,1520
19025,4750,4376,374
19083,7694,6736,958
19069,4389,3991,398
19023,7057,6578,479
19133,3726,3472,254
19085,5522,5141,381
19137,4456,3911,545
19111,13361,11642,1719
19037,5375,4619,756
19197,5972,5009,963
19179,13833,11352,2481
19121,7171,6793,378
19095,8399,7652,747
19143,2302,2063,239
19051,2710,2531,179
19047,7194,5828,1366
19145,6481,5933,548
19043,7048,6450,598
19057,15747,14789,958
19007,4717,4270,447
19107,3881,3562,319
19077,5218,4840,378
19129,6027,5727,300
19021,9894,6836,3058
19087,8685,7024,1661
19053,2567,2313,254
19097,8584,8170,414
19155,38723,36487,2236
19079,7657,6946,711
19035,4994,4590,404
19001,2963,2626,337
19175,5135,4836,299
19167,11939,10167,1772
19089,3839,3332,507
19119,3536,3327,209
19185,2222,2031,191
19039,4091,3348,743
19117,3225,2796,429
19031,9255,8552,703
19071,2599,2399,200
19177,2365,2128,237
19105,10220,9115,1105
,36,32,4
