RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.5370806734929952,248483,14773
19059,0.4915980994321474,8169,315
19161,0.43915235058121596,3886,383
19027,0.5190181006694769,9383,1083
19013,0.493461761209498,59033,5723
19017,0.5059851568111085,11558,1123
19019,0.4485478158205431,8825,673
19103,0.6002580389043272,85487,5236
19195,0.43259720905026419,2995,198
19033,0.5208244994110719,20258,1851
19081,0.4147695202257761,3915,494
19169,0.5284347745502848,48283,3037
19139,0.4958278642415151,16843,4311
19165,0.49624585297712589,5423,261
19009,0.5016375545851528,2593,164
19191,0.5283377519883948,9638,924
19065,0.45582697201017816,8327,630
19061,0.5391990627986558,50546,1924
19147,0.4267386900742741,3543,249
19183,0.47129524243114048,9592,760
19003,0.446141032759578,1534,73
19173,0.3904590753144911,2305,85
19041,0.44037212787212789,6640,413
19125,0.4312994316302288,12071,2271
19123,0.35591762842272009,7006,858
19157,0.48875918720276698,8554,490
19099,0.47968266774236925,16142,1695
19073,0.4814356435643564,3733,546
19113,0.5505676956057626,115704,9113
19049,0.5364300771510813,47451,2680
19193,0.4215038746156905,38716,4744
19171,0.4985166725999763,7496,906
19109,0.45102275028691016,6084,597
19187,0.47351270053475938,15485,1516
19011,0.4776369662702281,11288,961
19141,0.4253617392568894,5282,568
19045,0.4330267720605656,18542,1563
19067,0.44828027106508119,6396,616
19189,0.44436932586440028,4004,597
19131,0.4103532968071037,4113,231
19029,0.4913524462449361,5906,401
19135,0.39172181134033998,2656,363
19127,0.5220859051538013,17632,2922
19063,0.4219157254561251,3557,328
19159,0.4352268083367389,2084,46
19163,0.4382600047414466,70119,5675
19115,0.42229270502945179,3557,1103
19149,0.4314652261985145,8718,2145
19093,0.4061224489795918,2348,438
19015,0.5403293435999085,13334,841
19075,0.5237900588620014,5850,557
19091,0.4175559740531492,3590,401
19151,0.4470463816286448,2709,250
19055,0.4502968667332902,6768,892
19101,0.4006559169171905,6581,749
19005,0.40637100898662967,5323,239
19181,0.4863404966385575,23481,1549
19025,0.49896565990897809,4437,387
19083,0.4650955716490562,6823,1012
19069,0.44270109235352536,4052,406
19023,0.4944248216635501,6652,487
19133,0.4396982008125363,3519,269
19085,0.39668303793864337,5191,382
19137,0.4554804880508218,3967,550
19111,0.40324449594438008,11827,1745
19037,0.45554345093438367,4672,764
19197,0.4816112084063047,5075,975
19179,0.4008979381738111,11520,2499
19121,0.44558697514995718,6893,387
19095,0.5295971329708354,7818,753
19143,0.3883853642161799,2071,243
19051,0.30444444444444448,2555,185
19047,0.43323424494649229,5914,1373
19155,0.42230113941162586,37110,2251
19145,0.434699146091216,6016,551
19043,0.4049233574562653,6507,599
19057,0.412117945954269,15067,992
19007,0.3841139546112989,4317,456
19107,0.38414991216084329,3611,325
19077,0.4934979885863972,4890,385
19129,0.405453703090873,5815,311
19021,0.5220183486238532,6981,3261
19087,0.44326951989576027,7139,1706
19053,0.33227445997458707,2356,259
19097,0.4467307989094089,8268,416
19079,0.5254856833412306,7040,723
19035,0.4495772140631954,4644,407
19001,0.4175055928411633,2647,339
19175,0.42529205130299815,4899,307
19167,0.3462630899440539,10288,1781
19089,0.4255295916138895,3383,514
19119,0.3030199914929817,3347,215
19185,0.34823785126533149,2048,195
19039,0.4428951569984034,3416,745
19117,0.3782558139534884,2820,433
19031,0.5039995705159177,8682,706
19071,0.3775862068965517,2428,200
19177,0.3387279954571266,2145,241
19105,0.49978240897442097,9223,1113
,,30,4
