County,Number of Doses
Polk,588826
Linn,268982
Johnson,193065
Scott,169984
Black Hawk,142051
Dubuque,113102
Story,111669
Dallas,111259
Woodbury,97121
Pottawattamie,90110
Warren,55502
Cerro Gordo,48298
Marshall,44625
Clinton,44236
Muscatine,43945
Jasper,39154
Webster,37057
Des Moines,36386
Marion,30794
Boone,30653
Wapello,29993
Lee,29405
Bremer,27131
Benton,26730
Sioux,25761
Plymouth,22757
Winneshiek,22549
Washington,22520
Carroll,22028
Jones,21768
Buena Vista,21545
Buchanan,20900
Cedar,20108
Poweshiek,20106
Fayette,19679
Jackson,19042
Dickinson,18670
Henry,18586
Tama,18466
Iowa,18405
Mahaska,17397
Hardin,16713
Hamilton,16672
Delaware,16588
Madison,16117
Jefferson,15891
Clay,15670
Crawford,15508
Butler,15409
Floyd,15189
Clayton,14998
Page,14559
Kossuth,14163
Grundy,13772
Mills,13761
Cass,13587
O'Brien,12611
Wright,12557
Allamakee,12516
Harrison,12342
Shelby,12334
Union,11544
Chickasaw,11491
Guthrie,11432
Cherokee,11062
Appanoose,10521
Calhoun,10425
Franklin,9869
Montgomery,9837
Winnebago,9721
Louisa,9670
Mitchell,9669
Hancock,9471
Sac,9362
Greene,9241
Clarke,8832
Emmet,8683
Humboldt,8613
Keokuk,8590
Howard,8402
Palo Alto,8261
Monona,8237
Lyon,7732
Worth,7090
Lucas,6987
Pocahontas,6424
Adair,6405
Monroe,6318
Ida,5981
Davis,5967
Audubon,5915
Decatur,5744
Fremont,5654
Van Buren,5409
Taylor,5257
Wayne,4939
Osceola,4860
Ringgold,4790
Adams,3635
.,139
