County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,236221,46857,40528,465,419,46
Linn,101629,18072,16245,279,255,24
Scott,75277,15873,13881,172,162,10
Johnson,69478,12306,10821,52,48,4
Black Hawk,61043,14094,12616,243,229,14
Woodbury,52425,13135,11996,181,168,13
Dubuque,50800,11641,10391,159,150,9
Story,48848,8812,7919,38,33,5
Dallas,46594,9089,7746,72,61,11
Pottawattamie,42103,9167,8068,115,101,14
Warren,24088,4596,3693,39,37,2
Cerro Gordo,21135,4738,4245,72,61,11
Webster,19411,4725,4341,77,66,11
Clinton,19133,4583,4039,68,62,6
Muscatine,18760,3961,3441,78,71,7
Des Moines,18520,3951,3435,43,39,4
Marshall,18142,4311,3988,62,57,5
Jasper,15547,3332,2800,59,57,2
Wapello,14951,3506,3003,98,96,2
Sioux,14032,4597,4247,57,55,2
Lee,13905,3251,2798,32,26,6
Buena Vista,13476,3964,3644,30,27,3
Marion,13439,3096,2624,53,46,7
Boone,11897,2233,1840,17,15,2
Plymouth,11861,3534,3274,70,63,7
Benton,10956,2136,1940,50,40,10
Bremer,10385,2501,2263,48,44,4
Washington,10345,2231,1819,33,32,1
Carroll,10171,2583,2298,34,28,6
Henry,9700,2675,2431,31,31,0
Dickinson,9163,1891,1664,29,26,3
Mahaska,9103,1979,1650,37,33,4
Jones,8712,2750,2567,50,48,2
Pending Investigation,8698,1015,610,0,0,0
Winneshiek,8644,1608,1333,20,18,2
Buchanan,8149,1622,1413,24,22,2
Fayette,7976,1661,1346,24,22,2
Cedar,7871,1557,1345,19,18,1
Jackson,7871,1951,1739,32,31,1
Crawford,7837,2348,2068,24,21,3
Tama,7390,1902,1702,59,57,2
Poweshiek,7390,1352,1166,24,22,2
Clay,7298,1726,1511,21,17,4
Hardin,7260,1579,1430,31,28,3
Wright,7152,1671,1507,24,22,2
Iowa,7092,1278,1113,22,21,1
Delaware,6951,1764,1585,36,32,4
Mills,6932,1385,1251,17,16,1
Kossuth,6845,1806,1531,44,41,3
Floyd,6745,1417,1243,36,28,8
Jefferson,6597,1221,978,25,22,3
Hamilton,6567,1626,1437,30,29,1
Madison,6556,1240,929,10,9,1
Clayton,6098,1538,1354,49,41,8
Butler,6078,1518,1249,24,21,3
O'Brien,5887,1711,1542,54,50,4
O'Brien,5887,1711,1542,1,1,0
Union,5871,1116,999,23,21,2
Harrison,5776,1585,1377,62,58,4
Cass,5515,1153,987,43,41,2
Page,5342,1479,1354,15,14,1
Winnebago,5341,1222,1069,29,24,5
Cherokee,5293,1401,1207,27,23,4
Allamakee,5246,1311,1130,30,26,4
Appanoose,5207,1126,943,40,39,1
Hancock,5183,1320,1134,24,19,5
Grundy,5016,1227,1066,28,23,5
Guthrie,4939,1046,922,24,19,5
Mitchell,4914,1170,1001,37,36,1
Louisa,4793,1162,1028,30,25,5
Calhoun,4755,1235,1164,9,9,0
Sac,4710,1122,1018,15,15,0
Chickasaw,4680,1137,1017,12,11,1
Shelby,4634,1055,908,27,27,0
Franklin,4509,1036,854,18,17,1
Emmet,4451,1113,964,32,31,1
Humboldt,4218,1068,940,19,16,3
Clarke,4145,812,662,9,9,0
Lyon,4051,1375,1225,33,30,3
Palo Alto,3940,925,791,11,10,1
Howard,3837,859,675,19,15,4
Montgomery,3818,891,727,24,23,1
Greene,3666,697,637,7,7,0
Keokuk,3575,864,771,26,26,0
Lucas,3308,667,539,10,9,1
Monona,3279,685,531,18,17,1
Worth,3220,619,507,4,3,1
Adair,3169,697,582,20,16,4
Pocahontas,3134,782,683,11,11,0
Decatur,3002,498,418,4,4,0
Monroe,2933,824,613,20,17,3
Ida,2818,760,677,30,29,1
Davis,2807,703,623,21,20,1
Fremont,2369,525,455,6,4,2
Van Buren,2339,503,443,15,13,2
Taylor,2246,600,537,9,7,2
Audubon,2233,422,362,8,8,0
Osceola,2148,647,604,11,9,2
Ringgold,2079,453,349,11,10,1
Wayne,1947,420,360,21,17,4
Adams,1382,302,255,3,3,0
