County,Series Initiated,Series Completed
Polk,31010,13168
Johnson,13128,10496
Linn,11798,6313
Black Hawk,7887,2969
Scott,7510,3137
Pottawattamie,4894,3942
Story,4706,2593
Dubuque,4675,3658
Woodbury,4120,3085
Dallas,4080,1023
Cerro Gordo,3424,1680
Webster,2196,1022
Jasper,1964,875
Lee,1929,718
Bremer,1727,1237
Clay,1660,657
Warren,1639,841
Carroll,1408,833
Sioux,1319,651
Wapello,1167,618
Boone,1157,675
Clinton,1005,798
Des Moines,993,1151
Marshall,855,455
Mills,736,277
Plymouth,679,257
Muscatine,675,581
Delaware,665,379
Hardin,656,395
Benton,649,468
Winneshiek,634,505
O'Brien,630,407
Tama,598,141
Jackson,582,328
Marion,580,853
Harrison,554,119
Calhoun,542,197
Clayton,528,284
Allamakee,520,153
Buena Vista,510,363
Shelby,509,393
Ida,492,91
Cedar,488,296
Henry,484,440
Fayette,480,317
Dickinson,470,445
Mahaska,456,197
Washington,452,164
Jones,448,303
Winnebago,439,108
Kossuth,437,224
Crawford,416,291
Humboldt,412,222
Buchanan,407,375
Hamilton,402,335
Wright,378,281
Montgomery,376,227
Grundy,363,237
Page,356,527
Madison,354,219
Audubon,350,126
Monroe,349,81
Ringgold,346,159
Jefferson,346,323
Wayne,343,180
Cass,336,399
Union,314,289
Monona,308,151
Iowa,308,298
Butler,299,137
Poweshiek,288,190
Taylor,276,48
Appanoose,276,160
Worth,273,49
Fremont,270,92
Guthrie,269,215
Franklin,266,154
Palo Alto,265,322
Cherokee,254,402
Howard,254,153
Mitchell,251,199
Lyon,245,151
Clarke,216,179
Greene,212,139
Floyd,211,236
Davis,203,112
Emmet,202,226
Adams,198,73
Decatur,198,118
Lucas,173,100
Chickasaw,171,169
Keokuk,166,154
Louisa,155,59
Osceola,146,86
Van Buren,144,60
Hancock,116,257
Adair,100,113
Sac,94,166
Pocahontas,70,82
.,0,0
