County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,633948,61081,51048,579,515,64
Linn,267804,21110,19078,324,291,33
Black Hawk,199177,16635,14602,300,279,21
Johnson,193775,14279,12992,78,73,5
Scott,191741,19213,16919,226,207,19
Dubuque,174102,13878,12185,200,186,14
Story,150554,10679,9485,46,40,6
Woodbury,134568,15696,13542,217,199,18
Dallas,118688,11899,10053,95,83,12
Pottawattamie,110241,11262,9672,152,134,18
Marshall,76253,5082,4546,74,66,8
Cerro Gordo,71156,5463,4892,85,71,14
Warren,70088,5837,5019,80,71,9
Webster,64637,5301,4841,89,75,14
Clinton,57422,5626,4919,87,76,11
Des Moines,52205,4676,4213,64,53,11
Lee,50439,3866,3568,55,42,13
Muscatine,50212,4728,4133,95,86,9
Jasper,47786,4343,3806,69,64,5
Wapello,43581,4555,3895,116,112,4
Buena Vista,42258,4817,4068,39,35,4
Boone,41223,2692,2390,31,29,2
Sioux,40670,5106,4708,69,66,3
Poweshiek,38995,1585,1445,32,29,3
Marion,38919,3696,3339,74,64,10
Washington,37968,2603,2348,49,45,4
Bremer,36031,2889,2613,57,48,9
Winneshiek,35335,1961,1787,31,26,5
Plymouth,35310,4114,3591,79,71,8
Benton,34541,2621,2323,54,44,10
Henry,33883,2976,2758,37,36,1
Carroll,33767,2936,2613,49,42,7
Fayette,32783,1895,1734,39,34,5
Hardin,31920,1878,1654,40,33,7
Tama,30492,2172,1944,68,65,3
Mahaska,28661,2293,2089,49,44,5
Buchanan,28345,1934,1730,31,26,5
Cedar,28269,1859,1681,23,21,2
Butler,27661,1698,1545,33,29,4
Iowa,27541,1495,1366,23,21,2
Clay,27360,2099,1808,25,20,5
Crawford,25825,2824,2490,36,31,5
Delaware,25197,1975,1811,39,35,4
Dickinson,24190,2410,1980,41,35,6
O'Brien,23964,2062,1746,58,54,4
Kossuth,23962,2181,1923,58,51,7
Jones,23947,3000,2791,55,51,4
Jackson,23731,2263,2058,42,39,3
Floyd,23547,1679,1430,41,31,10
Clayton,23041,1707,1554,55,46,9
Hamilton,22090,1942,1694,46,43,3
Mills,20101,1708,1463,20,17,3
Allamakee,19786,1535,1363,49,39,10
Harrison,19769,1835,1597,71,67,4
Page,19744,1909,1778,19,18,1
Hancock,19672,1501,1340,33,27,6
Wright,19633,1831,1703,34,27,7
Cherokee,19470,1640,1401,37,29,8
Cass,19440,1399,1223,53,48,5
Jefferson,19053,1408,1257,35,29,6
Madison,19029,1637,1424,19,15,4
Franklin,18400,1209,1064,21,19,2
Sac,18370,1308,1163,18,18,0
Grundy,18082,1410,1288,31,26,5
Calhoun,17156,1370,1277,11,11,0
Monona,16959,845,738,30,28,2
Guthrie,16926,1218,1069,28,23,5
Palo Alto,16910,1107,983,22,20,2
Appanoose,16583,1418,1183,47,43,4
Mitchell,16363,1353,1169,41,38,3
Winnebago,16274,1433,1263,31,26,5
Chickasaw,16193,1269,1178,15,13,2
Louisa,16108,1307,1181,48,41,7
Union,15944,1298,1164,32,26,6
Howard,15772,1060,969,22,18,4
Shelby,15541,1285,1113,34,31,3
Emmet,15433,1291,1100,40,38,2
Keokuk,14589,1003,890,30,30,0
Humboldt,14463,1215,1102,26,23,3
Lyon,14297,1504,1415,41,37,4
Greene,13823,801,716,10,10,0
Montgomery,13301,1059,930,36,34,2
Clarke,12512,1029,923,23,22,1
Pocahontas,12067,872,793,19,19,0
Pending Investigation,12017,1036,933,0,0,0
Worth,11713,716,655,8,7,1
Adair,11580,956,779,32,22,10
Ida,11473,981,769,32,30,2
Audubon,11091,500,460,9,8,1
Davis,10221,855,735,24,23,1
Decatur,9779,594,560,9,9,0
Ringgold,9104,543,487,22,18,4
Monroe,9054,955,863,28,21,7
Lucas,8686,776,689,22,18,4
Taylor,7964,668,628,12,10,2
Van Buren,7851,567,520,18,15,3
Osceola,7771,739,665,16,13,3
Fremont,6776,611,542,10,8,2
Wayne,6126,551,429,23,18,5
Adams,5107,328,316,4,4,0
