County,Series Initiated,Series Completed
Polk,36942,60888
Linn,24027,26642
Johnson,17353,28701
Scott,17056,15695
Black Hawk,16014,16305
Dubuque,12301,13325
Woodbury,12127,9472
Pottawattamie,9314,11931
Story,8608,9568
Cerro Gordo,7469,5380
Dallas,6835,6967
Des Moines,4980,4651
Clinton,4302,2556
Warren,4296,3456
Webster,3727,3873
Lee,3701,2594
Wapello,3650,2253
Bremer,3570,3338
Marshall,3535,1754
Marion,3513,1872
Jackson,3492,1070
Muscatine,3456,1809
Sioux,3074,2250
Plymouth,3021,1071
Tama,2905,1018
Dickinson,2680,1152
Fayette,2655,1050
Cass,2653,845
Mahaska,2620,750
Washington,2618,576
Poweshiek,2611,875
Benton,2518,1322
Jasper,2505,4001
Buchanan,2495,903
Winneshiek,2442,1199
Clayton,2341,1079
Buena Vista,2327,1055
Boone,2280,2609
Page,2266,1236
Henry,2264,899
Clay,2256,2764
Madison,2246,738
Floyd,2166,867
Cedar,2139,1162
Iowa,2137,832
Hamilton,2110,891
Crawford,2051,832
Jefferson,2043,872
Kossuth,1903,996
Carroll,1899,2421
Shelby,1848,869
Allamakee,1714,754
O'Brien,1709,1222
Cherokee,1625,785
Appanoose,1616,673
Grundy,1535,867
Butler,1515,927
Mills,1396,1052
Louisa,1395,391
Jones,1394,1237
Hardin,1390,1426
Union,1320,823
Davis,1307,332
Guthrie,1285,666
Franklin,1282,594
Hancock,1255,446
Emmet,1253,530
Sac,1239,744
Wright,1173,787
Calhoun,1155,967
Mitchell,1155,605
Chickasaw,1146,406
Delaware,1130,1147
Lucas,1113,468
Winnebago,1104,621
Palo Alto,1090,752
Lyon,1061,568
Decatur,968,387
Taylor,958,486
Harrison,936,915
Wayne,905,620
Montgomery,903,697
Monroe,892,607
Adair,832,265
Humboldt,831,620
Greene,794,714
Audubon,745,590
Clarke,728,516
Monona,667,489
Van Buren,625,208
Howard,609,473
Pocahontas,602,411
Ida,599,466
Adams,573,355
Ringgold,520,619
Fremont,510,458
Osceola,503,334
Worth,497,498
Keokuk,458,422
Out of State,260,3621
