County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,616703,60024,50179,577,513,64
Linn,261726,20938,18900,321,289,32
Black Hawk,194589,16498,14485,298,277,21
Johnson,189790,14073,12829,76,71,5
Scott,187375,18714,16687,223,205,18
Dubuque,169352,13732,12025,200,186,14
Story,147119,10511,9326,46,40,6
Woodbury,130520,15440,13390,216,198,18
Dallas,115990,11703,9843,93,82,11
Pottawattamie,107871,11052,9548,149,132,17
Marshall,74420,5056,4507,74,66,8
Cerro Gordo,69800,5426,4856,85,71,14
Warren,68298,5740,4935,80,71,9
Webster,63270,5272,4800,88,74,14
Clinton,56131,5536,4836,87,76,11
Des Moines,50993,4652,4157,63,53,10
Lee,49207,3772,3452,54,41,13
Muscatine,48530,4639,4052,94,85,9
Jasper,46260,4254,3644,69,64,5
Wapello,42567,4493,3790,114,110,4
Buena Vista,41410,4794,4018,38,35,3
Boone,40377,2662,2358,30,28,2
Sioux,39300,5041,4652,69,66,3
Marion,37655,3667,3295,74,64,10
Washington,37216,2582,2333,48,44,4
Poweshiek,36895,1576,1433,31,28,3
Bremer,34942,2874,2570,57,48,9
Plymouth,34407,4054,3554,79,71,8
Winneshiek,34235,1939,1759,31,26,5
Benton,33634,2605,2271,54,44,10
Henry,33291,2952,2744,37,36,1
Carroll,32923,2915,2595,49,42,7
Fayette,31570,1879,1727,37,33,4
Hardin,31188,1860,1626,39,33,6
Tama,29795,2164,1916,68,65,3
Mahaska,28102,2279,2068,47,42,5
Cedar,27675,1836,1632,23,21,2
Buchanan,27600,1904,1699,30,26,4
Butler,26878,1689,1536,32,28,4
Iowa,26820,1487,1347,23,21,2
Clay,26642,2023,1801,25,20,5
Crawford,25078,2807,2446,36,31,5
Delaware,24492,1932,1803,39,35,4
Dickinson,23402,2303,1957,41,35,6
Jones,23378,2979,2779,55,51,4
Kossuth,23330,2138,1896,57,51,6
Jackson,23249,2243,2038,40,37,3
O'Brien,23241,2028,1717,58,54,4
Floyd,23029,1667,1419,41,31,10
Clayton,22420,1696,1546,55,46,9
Hamilton,21699,1938,1683,44,42,2
Mills,19688,1671,1444,20,17,3
Hancock,19374,1488,1334,33,27,6
Wright,19318,1822,1694,32,27,5
Page,19307,1887,1761,19,18,1
Allamakee,19298,1522,1341,48,38,10
Harrison,19233,1818,1588,70,66,4
Cass,19022,1388,1194,52,47,5
Cherokee,18744,1608,1394,37,29,8
Jefferson,18689,1405,1247,35,29,6
Madison,18657,1616,1394,19,15,4
Franklin,18108,1201,1058,20,19,1
Sac,17963,1292,1149,18,18,0
Grundy,17637,1402,1264,31,26,5
Calhoun,16796,1364,1268,11,11,0
Monona,16548,834,734,30,28,2
Guthrie,16518,1190,1056,28,23,5
Palo Alto,16384,1085,972,22,20,2
Appanoose,16236,1407,1170,47,43,4
Mitchell,16016,1339,1159,40,38,2
Chickasaw,15895,1270,1172,15,13,2
Winnebago,15894,1420,1248,31,26,5
Louisa,15693,1298,1163,48,41,7
Union,15596,1286,1152,31,26,5
Howard,15449,1054,952,22,18,4
Shelby,15005,1255,1096,34,31,3
Emmet,14885,1248,1095,40,38,2
Keokuk,14237,995,878,29,29,0
Humboldt,14141,1204,1095,25,22,3
Lyon,13852,1487,1408,41,37,4
Greene,13523,792,713,10,10,0
Montgomery,13009,1048,926,36,34,2
Pending Investigation,12368,1024,875,0,0,0
Clarke,12255,1025,902,21,21,0
Pocahontas,11874,866,788,19,19,0
Adair,11377,950,765,31,22,9
Worth,11352,711,646,8,7,1
Ida,11083,966,769,32,30,2
Audubon,10831,496,453,9,8,1
Davis,9881,845,727,24,23,1
Decatur,9420,591,548,9,9,0
Ringgold,8946,535,479,22,18,4
Monroe,8843,952,848,28,21,7
Lucas,8457,770,675,21,17,4
Taylor,7772,666,626,12,10,2
Van Buren,7704,563,519,18,15,3
Osceola,7478,714,654,15,13,2
Fremont,6634,598,538,10,8,2
Wayne,5676,537,423,21,17,4
Adams,4942,328,315,4,4,0
