County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,70049,135678,6739,349001
Linn,31085,72130,6706,180742
Johnson,21478,56234,2758,136733
Scott,17279,51100,3925,124557
Black Hawk,14847,44621,4522,108901
Story,14453,27478,924,70039
Dubuque,13719,40622,1105,95955
Dallas,13406,22660,1467,59298
Woodbury,8468,29182,2757,69165
Pottawattamie,8080,30348,4293,74049
Warren,5602,10120,474,25962
Cerro Gordo,5146,17390,1134,41059
Marshall,4618,7144,2509,21363
Clinton,4103,10148,1043,25495
Muscatine,3774,8082,4098,24093
Jasper,3728,8446,495,20844
Des Moines,3610,12635,539,29370
Webster,3565,11632,829,27798
Marion,2814,8221,3677,22950
Poweshiek,2796,5372,138,13570
Wapello,2691,7936,436,19026
Boone,2675,7357,279,17578
Lee,2620,8176,1152,20347
Bremer,2608,8711,952,20959
Tama,2253,4774,940,12640
Carroll,2175,6810,768,16599
Iowa,2142,3275,467,9155
Cass,2041,7742,228,17839
Sioux,2039,7072,2345,18541
Mahaska,1974,4781,249,11805
Page,1925,4507,627,11572
Washington,1902,4498,380,11280
Jackson,1885,5531,122,13051
Madison,1885,4569,78,11093
Henry,1882,4563,577,11627
Jones,1848,3684,605,9859
Fayette,1816,7784,809,18177
Winneshiek,1783,5118,514,12580
Dickinson,1716,5310,115,12457
Emmet,1625,3106,297,8216
Hamilton,1597,4816,325,11634
Mills,1525,3651,85,8920
Greene,1487,2740,335,7281
Floyd,1443,4349,713,10840
Buena Vista,1419,4662,3160,13997
Buchanan,1416,4389,190,10369
Plymouth,1405,5100,2778,14397
Hardin,1393,4261,1143,11051
Cedar,1367,4436,201,10416
Union,1313,3126,114,7554
Shelby,1309,4040,38,9460
Benton,1283,4968,357,11583
Crawford,1220,4270,1458,11227
Kossuth,1147,4342,376,10217
Guthrie,1132,2813,176,6923
Jefferson,1126,5278,754,12440
Clayton,1086,4794,571,11243
Clay,1033,6600,50,14247
Delaware,955,3124,599,7793
Lucas,945,2244,306,5752
Harrison,944,2379,187,5886
Grundy,941,3332,200,7813
Winnebago,925,2709,387,6747
Cherokee,861,3461,170,7951
Wright,853,3496,1481,9305
Clarke,832,3016,1249,8080
O'Brien,828,4015,225,9090
Butler,820,2952,65,6793
Calhoun,819,3259,100,7447
Allamakee,789,4602,45,10009
Montgomery,743,2189,499,5638
Wayne,712,2231,332,5537
Appanoose,705,3332,374,7790
Lyon,693,2144,25,5002
Sac,656,2605,0,5872
Louisa,649,2427,1493,6964
Davis,648,2476,1578,7167
Monroe,646,2285,199,5414
Chickasaw,625,2059,298,5036
Hancock,594,2203,552,5552
Humboldt,582,3229,315,7436
Decatur,552,2259,105,5201
Palo Alto,526,2595,82,5832
Mitchell,518,3609,0,7749
Franklin,510,2801,175,6285
Howard,507,1491,87,3564
Pocahontas,474,1337,130,3278
Monona,394,1477,105,3439
Worth,390,1251,0,2888
Ringgold,376,1586,0,3575
Adair,372,1694,254,3973
Van Buren,338,1084,69,2574
Audubon,331,1590,96,3604
Keokuk,324,1178,100,2780
Fremont,306,1237,73,2856
Adams,292,1390,0,3200
Taylor,258,1895,0,4069
Out of State,255,4255,0,8415
Osceola,246,1153,120,2672
Ida,223,1266,361,3119
