County,Number of Doses
Polk,570031
Linn,261477
Johnson,188011
Scott,162231
Black Hawk,137761
Dubuque,110430
Story,108623
Dallas,107851
Woodbury,93315
Pottawattamie,86745
Warren,53698
Cerro Gordo,46836
Clinton,42893
Marshall,42871
Muscatine,41954
Jasper,37736
Webster,36079
Des Moines,35045
Boone,29925
Marion,29603
Wapello,28785
Lee,28217
Bremer,26417
Benton,25994
Sioux,24917
Plymouth,21874
Washington,21861
Winneshiek,21833
Carroll,21447
Jones,21190
Buena Vista,20617
Buchanan,20240
Cedar,19556
Poweshiek,19282
Fayette,19088
Jackson,18571
Dickinson,18038
Henry,17856
Iowa,17800
Tama,17792
Mahaska,16744
Hardin,16163
Hamilton,16094
Delaware,15945
Madison,15623
Jefferson,15465
Clay,15108
Butler,15046
Crawford,14892
Floyd,14698
Clayton,14647
Page,13934
Kossuth,13779
Grundy,13410
Mills,13370
Cass,13170
O'Brien,12198
Wright,12179
Allamakee,12108
Harrison,12045
Shelby,12011
Union,11156
Chickasaw,11146
Guthrie,11143
Cherokee,10737
Appanoose,10080
Calhoun,10075
Franklin,9528
Montgomery,9507
Mitchell,9405
Winnebago,9368
Louisa,9231
Hancock,9190
Sac,9047
Greene,8918
Clarke,8490
Humboldt,8348
Emmet,8297
Keokuk,8295
Howard,8119
Monona,7989
Palo Alto,7980
Lyon,7450
Worth,6824
Lucas,6695
Pocahontas,6217
Adair,6189
Monroe,6147
Davis,5795
Audubon,5780
Ida,5723
Fremont,5518
Decatur,5477
Van Buren,5175
Taylor,5101
Wayne,4766
Osceola,4718
Ringgold,4597
Adams,3444
.,76
