County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,586372,58506,48420,559,499,60
Linn,251675,20702,18513,317,285,32
Black Hawk,186817,16306,14237,293,273,20
Johnson,182878,13892,12531,75,70,5
Scott,180078,18380,16290,212,196,16
Dubuque,162626,13600,11767,195,181,14
Story,141121,10293,9101,45,39,6
Woodbury,124872,15030,13193,214,198,16
Dallas,110988,11434,9447,93,82,11
Pottawattamie,104120,10823,9327,146,130,16
Marshall,71354,4996,4401,73,65,8
Cerro Gordo,67577,5357,4799,83,70,13
Warren,64732,5588,4784,76,71,5
Webster,60948,5207,4719,88,74,14
Clinton,53874,5455,4695,84,74,10
Des Moines,48278,4596,4035,61,53,8
Lee,47232,3764,3380,53,40,13
Muscatine,46680,4546,3948,93,84,9
Jasper,44014,4186,3428,67,62,5
Wapello,40297,4365,3616,110,106,4
Buena Vista,40088,4751,3988,37,34,3
Boone,38706,2617,2294,30,28,2
Sioux,37660,4959,4595,69,66,3
Washington,35835,2546,2270,47,43,4
Marion,35572,3601,3191,71,61,10
Poweshiek,35328,1549,1414,30,28,2
Plymouth,33421,3963,3516,78,70,8
Bremer,32990,2825,2518,55,47,8
Benton,31881,2556,2165,54,44,10
Henry,31867,2937,2699,37,36,1
Carroll,31844,2873,2564,49,41,8
Winneshiek,31722,1897,1665,28,24,4
Fayette,30277,1866,1687,35,32,3
Hardin,29830,1821,1592,39,33,6
Tama,28639,2148,1891,65,63,2
Mahaska,26553,2257,2023,46,41,5
Cedar,26331,1792,1579,23,21,2
Buchanan,26185,1868,1655,29,25,4
Iowa,25724,1457,1317,23,21,2
Clay,25615,1942,1756,25,20,5
Butler,25493,1679,1518,31,28,3
Crawford,23849,2758,2386,35,31,4
Delaware,23540,1899,1772,40,35,5
Jones,22468,2942,2752,55,51,4
Jackson,22451,2218,1992,39,36,3
Dickinson,22359,2189,1891,40,34,6
Floyd,22349,1635,1404,41,31,10
O'Brien,22250,1972,1690,58,54,4
Kossuth,22190,2092,1844,55,48,7
Clayton,21505,1683,1526,54,46,8
Hamilton,20953,1920,1630,42,41,1
Mills,19214,1633,1410,20,17,3
Wright,18799,1806,1673,31,26,5
Hancock,18696,1475,1322,30,25,5
Allamakee,18431,1481,1303,48,39,9
Cass,18242,1359,1157,51,46,5
Harrison,18222,1804,1563,70,66,4
Page,17887,1837,1713,19,18,1
Cherokee,17767,1556,1380,36,29,7
Jefferson,17759,1391,1232,34,28,6
Franklin,17568,1186,1050,19,18,1
Madison,17460,1556,1324,18,14,4
Sac,17054,1256,1135,18,18,0
Grundy,16805,1394,1228,30,25,5
Calhoun,16122,1341,1244,11,11,0
Palo Alto,15861,1059,939,21,19,2
Monona,15833,819,718,27,26,1
Appanoose,15640,1393,1125,47,43,4
Guthrie,15634,1170,1040,28,23,5
Mitchell,15417,1314,1153,40,38,2
Chickasaw,15380,1258,1148,15,13,2
Winnebago,15247,1394,1227,31,26,5
Louisa,15129,1283,1149,44,37,7
Union,15044,1267,1130,31,26,5
Howard,14669,1036,912,22,18,4
Emmet,14398,1221,1081,40,38,2
Shelby,14339,1224,1084,33,30,3
Humboldt,13613,1188,1074,25,22,3
Keokuk,13588,992,860,29,29,0
Lyon,13143,1462,1379,41,37,4
Greene,13122,777,707,10,10,0
Pending Investigation,12840,991,835,0,0,0
Montgomery,12499,1043,903,36,34,2
Clarke,11802,1009,860,20,20,0
Pocahontas,11498,854,781,19,19,0
Worth,10981,706,627,8,7,1
Adair,10969,925,695,29,22,7
Ida,10458,918,760,32,30,2
Audubon,10373,493,431,9,8,1
Davis,9451,832,711,23,22,1
Decatur,8920,583,524,9,9,0
Ringgold,8677,523,469,20,17,3
Monroe,8491,936,831,28,21,7
Lucas,8119,747,665,21,17,4
Taylor,7384,666,618,12,10,2
Van Buren,7380,562,512,18,15,3
Osceola,7096,707,644,15,13,2
Fremont,6456,592,536,9,7,2
Wayne,5235,501,409,21,17,4
Adams,4700,325,310,4,4,0
