RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19119,3305,3155,150
19195,2814,2653,161
19179,11997,9976,2021
19027,9457,8504,953
19153,217859,206568,11291
19127,17090,14782,2308
19191,9511,8692,819
19121,6303,6018,285
19113,106911,99339,7572
19155,32893,30912,1981
19049,41789,39656,2133
19033,18947,17517,1430
19089,3498,3076,422
19047,6429,5164,1265
19169,44591,42137,2454
19125,12620,10583,2037
19167,10861,9306,1555
19181,21319,20178,1141
19161,3900,3603,297
19193,37202,32999,4203
19061,47100,45547,1553
19017,11131,10167,964
19097,7820,7488,332
19103,80032,75707,4325
19187,14724,13638,1086
19171,7450,6693,757
19175,4568,4336,232
19139,18088,14518,3570
19013,55860,50950,4910
19163,63829,59197,4632
19177,2152,1974,178
19045,17148,15906,1242
19015,12125,11474,651
19085,5007,4688,319
19099,15236,13883,1353
19133,3399,3213,186
19075,5703,5289,414
19019,8276,7722,554
19109,5993,5485,508
19149,9634,7654,1980
19145,5871,5433,438
19043,6633,6101,532
19081,3983,3569,414
19025,4376,4096,280
19011,10794,9972,822
19059,7712,7480,232
19165,5168,4974,194
19009,2492,2356,136
19031,8240,7622,618
19069,3942,3620,322
19039,3546,2875,671
19035,4601,4266,335
19115,4059,3086,973
19065,8045,7534,511
19007,4235,3855,380
19117,2872,2517,355
19037,4863,4235,628
19189,4137,3593,544
19073,3696,3220,476
19101,6365,5711,654
19151,2609,2417,192
19131,3905,3740,165
19001,2608,2322,286
19135,2655,2369,286
19057,13587,12822,765
19021,8611,5914,2697
19067,6110,5668,442
19185,1961,1805,156
19105,9169,8263,906
19063,3536,3254,282
19083,7042,6196,846
19077,4576,4281,295
19051,2395,2258,137
19197,5317,4454,863
19111,11616,10318,1298
19183,9072,8454,618
19091,3597,3258,339
19095,7454,6843,611
19147,3456,3253,203
19029,5624,5307,317
19123,6912,6200,712
19023,6423,6041,382
19157,8030,7626,404
19041,6275,5940,335
19087,7710,6347,1363
19079,6872,6234,638
19107,3516,3247,269
19055,6834,6050,784
19003,1435,1388,47
19173,2151,2094,57
19129,5148,4891,257
19005,5030,4828,202
19071,2373,2196,177
19159,1917,1880,37
19137,4035,3534,501
19053,2328,2108,220
19093,2507,2131,376
19141,5321,4853,468
19143,2112,1928,184
,43,37,6
