Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1589097303634232,American Indian or Alaska Native
Asian,0.353415994008488,Asian
Black,0.18069552320362204,Black
Native Hawaiian or Other Pacific Islander,0.32035803497085765,Native Hawaiian or Other Pacific Islander
Other Race,0.48620399987076348,Other Race
White,0.4030908544007163,White
