Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.17866354044548653,American Indian or Alaska Native
Asian,0.3870706974643065,Asian
Black,0.20882869521095977,Black
Native Hawaiian or Other Pacific Islander,0.3615736885928393,Native Hawaiian or Other Pacific Islander
Other Race,0.5429873025104197,Other Race
White,0.4263752675685885,White
