County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,234623,46329,40252,464,418,46
Linn,100850,17919,16161,279,255,24
Scott,74773,15699,13802,171,161,10
Johnson,69105,12207,10726,52,48,4
Black Hawk,60647,13968,12546,243,229,14
Woodbury,52159,13066,11937,181,168,13
Dubuque,50508,11514,10349,159,150,9
Story,48608,8758,7877,38,33,5
Dallas,46316,9021,7692,72,61,11
Pottawattamie,41841,9093,8021,115,101,14
Warren,23910,4522,3646,39,37,2
Cerro Gordo,21038,4708,4211,72,61,11
Webster,19318,4707,4308,77,66,11
Clinton,19021,4552,4017,67,61,6
Muscatine,18635,3933,3421,78,71,7
Des Moines,18345,3892,3429,43,39,4
Marshall,18027,4293,3971,62,57,5
Jasper,15446,3285,2769,59,57,2
Wapello,14758,3479,2986,98,96,2
Sioux,13985,4589,4233,57,55,2
Lee,13795,3215,2789,32,26,6
Buena Vista,13427,3952,3639,30,27,3
Marion,13360,3072,2602,52,45,7
Boone,11832,2215,1805,17,15,2
Plymouth,11812,3522,3261,70,63,7
Benton,10861,2110,1935,50,40,10
Bremer,10296,2483,2250,48,44,4
Washington,10293,2215,1803,33,32,1
Carroll,10132,2575,2282,34,28,6
Henry,9649,2660,2426,31,31,0
Dickinson,9126,1881,1660,29,26,3
Mahaska,9050,1963,1622,37,33,4
Jones,8646,2729,2559,50,48,2
Pending Investigation,8634,1004,604,0,0,0
Winneshiek,8596,1593,1329,20,18,2
Buchanan,8097,1610,1404,24,22,2
Fayette,7907,1640,1321,24,22,2
Cedar,7824,1546,1331,19,18,1
Jackson,7808,1939,1735,31,30,1
Crawford,7796,2333,2064,24,21,3
Tama,7342,1895,1695,59,57,2
Poweshiek,7335,1341,1153,24,22,2
Clay,7257,1709,1507,21,17,4
Hardin,7216,1562,1423,30,27,3
Wright,7121,1660,1497,24,22,2
Iowa,7051,1268,1106,22,21,1
Delaware,6918,1749,1578,36,32,4
Mills,6907,1381,1249,17,16,1
Kossuth,6793,1781,1526,44,41,3
Floyd,6714,1405,1237,36,28,8
Jefferson,6560,1217,968,25,22,3
Hamilton,6527,1611,1428,30,29,1
Madison,6511,1226,917,10,9,1
Clayton,6070,1532,1343,49,41,8
Butler,6036,1499,1246,24,21,3
O'Brien,5858,1705,1535,54,50,4
Union,5830,1102,996,23,21,2
Harrison,5734,1574,1364,62,58,4
Cass,5478,1147,978,43,41,2
Page,5313,1458,1351,15,14,1
Winnebago,5308,1215,1069,29,24,5
Cherokee,5276,1396,1194,27,23,4
Allamakee,5214,1300,1123,30,26,4
Appanoose,5167,1116,936,40,39,1
Hancock,5148,1313,1132,24,19,5
Grundy,4979,1219,1059,28,23,5
Guthrie,4900,1036,915,24,19,5
Mitchell,4897,1165,986,37,36,1
Louisa,4761,1155,1012,30,25,5
Calhoun,4727,1230,1159,9,9,0
Sac,4684,1112,1015,15,15,0
Chickasaw,4644,1134,1012,12,11,1
Shelby,4594,1040,904,27,27,0
Franklin,4484,1032,850,18,17,1
Emmet,4439,1112,960,32,31,1
Humboldt,4180,1058,924,19,16,3
Clarke,4103,803,644,7,7,0
Lyon,4036,1370,1218,33,30,3
Palo Alto,3918,917,786,11,10,1
Howard,3804,849,668,19,15,4
Montgomery,3779,874,713,24,23,1
Greene,3651,697,634,7,7,0
Keokuk,3552,859,768,26,26,0
Lucas,3283,662,529,10,9,1
Monona,3262,650,530,18,17,1
Worth,3203,615,500,4,3,1
Adair,3143,693,577,20,16,4
Pocahontas,3118,779,679,11,11,0
Decatur,2965,494,415,4,4,0
Monroe,2911,814,604,19,16,3
Ida,2803,756,675,30,29,1
Davis,2775,697,623,21,20,1
Fremont,2356,521,454,6,4,2
Van Buren,2327,499,442,15,13,2
Taylor,2226,596,532,9,7,2
Audubon,2215,418,361,8,8,0
Osceola,2141,645,604,11,9,2
Ringgold,2067,446,348,11,10,1
Wayne,1933,417,352,21,17,4
Adams,1370,298,253,3,3,0
