RECIP_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,248946,235803,13143
19161,4098,3761,337
19027,10064,9061,1003
19013,61682,56282,5400
19017,12107,11056,1051
19019,9019,8387,632
19195,3041,2852,189
19033,21021,19302,1719
19081,4236,3776,460
19169,49359,46619,2740
19139,20073,16041,4032
19165,5463,5237,226
19009,2678,2524,154
19191,10225,9333,892
19103,87880,83042,4838
19065,8595,8007,588
19061,50609,48847,1762
19147,3652,3427,225
19183,9904,9195,709
19193,40907,36291,4616
19003,1539,1477,62
19173,2291,2215,76
19041,6772,6374,398
19125,13624,11488,2136
19123,7454,6648,806
19157,8706,8252,454
19099,17004,15422,1582
19073,4107,3593,514
19113,119113,110692,8421
19049,47596,45212,2384
19171,8042,7195,847
19109,6450,5890,560
19187,16100,14716,1384
19011,11672,10772,900
19045,19083,17632,1451
19067,6611,6075,536
19189,4426,3846,580
19131,4174,3968,206
19029,6029,5674,355
19135,2872,2549,323
19127,19457,16825,2632
19063,3758,3444,314
19159,2051,2009,42
19115,4376,3337,1039
19163,71974,66716,5258
19149,10415,8307,2108
19059,8137,7864,273
19093,2672,2267,405
19015,13509,12761,748
19141,5654,5132,522
19075,6051,5573,478
19091,3813,3451,362
19151,2818,2601,217
19055,7306,6459,847
19101,6997,6285,712
19005,5302,5072,230
19181,23761,22416,1345
19025,4624,4285,339
19083,7518,6595,923
19069,4256,3882,374
19023,6856,6415,441
19133,3645,3411,234
19085,5382,5020,362
19137,4312,3785,527
19111,12818,11267,1551
19197,5758,4851,907
19179,13333,10951,2382
19121,6908,6571,337
19143,2242,2024,218
19051,2596,2433,163
19047,6949,5628,1321
19145,6288,5750,538
19043,6919,6342,577
19057,15020,14133,887
19007,4578,4159,419
19107,3760,3458,302
19077,5044,4706,338
19129,5853,5574,279
19021,9500,6498,3002
19087,8373,6780,1593
19079,7389,6713,676
19035,4847,4477,370
19001,2889,2569,320
19037,5190,4498,692
19095,8130,7428,702
19167,11566,9888,1678
19089,3734,3264,470
19119,3437,3262,175
19185,2142,1970,172
19039,3905,3198,707
19097,8323,7947,376
19155,37245,35112,2133
19117,3127,2727,400
19031,8957,8291,666
19175,4957,4688,269
19071,2543,2345,198
19053,2479,2246,233
19177,2277,2068,209
19105,9943,8911,1032
,44,38,6
