County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,73829,123721,6740,329080
Linn,32205,67269,6706,172176
Johnson,21211,54631,2757,133433
Scott,18671,48250,3925,120180
Dubuque,16017,37403,1081,91810
Black Hawk,15702,42344,4521,105192
Dallas,15055,19356,1467,54387
Story,13538,25152,924,64608
Woodbury,9258,27669,2752,66918
Pottawattamie,8944,27399,4293,69022
Cerro Gordo,5706,16411,1134,39644
Warren,5452,9567,474,24750
Webster,4845,10222,829,26181
Marshall,4394,6996,2509,20836
Clinton,4236,9540,1043,24407
Des Moines,4145,11917,537,28448
Muscatine,3948,7674,4098,23438
Carroll,3679,5238,768,14926
Marion,3563,7281,3677,21792
Jasper,3433,8089,495,19817
Poweshiek,3209,4815,138,12866
Bremer,2828,8364,952,20479
Wapello,2770,7639,436,18484
Lee,2674,7820,1152,19675
Boone,2629,7018,279,16878
Washington,2338,3933,380,10582
Tama,2291,4575,940,12279
Sioux,2215,6763,2345,18097
Dickinson,2194,4757,115,11819
Cass,2174,7592,228,17636
Iowa,2173,3245,467,9124
Mahaska,2127,4529,249,11441
Greene,2120,2082,335,6576
Madison,2056,4250,78,10625
Fayette,2044,7309,809,17452
Hamilton,1931,4311,325,10939
Henry,1860,4442,577,11349
Mills,1787,3331,85,8539
Buena Vista,1712,4242,3160,13438
Winneshiek,1669,4980,514,12182
Plymouth,1664,4813,2778,14077
Emmet,1647,3049,297,8123
Jackson,1564,5489,122,12647
Page,1559,4328,627,10844
Jones,1544,3377,605,8941
Floyd,1479,4181,713,10540
Hardin,1449,4131,1143,10840
Benton,1435,4804,357,11407
Shelby,1431,3874,38,9238
Union,1416,2956,114,7325
Cedar,1411,4383,201,10349
Crawford,1399,4016,1458,10895
Buchanan,1389,4282,190,10130
Jefferson,1375,4877,754,11895
Clay,1328,6184,50,13711
Clayton,1293,4569,571,10989
Humboldt,1242,2582,315,6752
Kossuth,1166,4268,376,10083
Guthrie,1138,2749,176,6802
Grundy,1096,3155,200,7611
Winnebago,1094,2487,387,6466
Lucas,1093,2101,306,5591
Harrison,1084,2154,187,5575
Allamakee,1054,4290,45,9661
Cherokee,1053,3196,170,7608
Calhoun,1037,2990,100,7124
Wayne,998,1931,332,5205
Delaware,972,3091,599,7743
O'Brien,921,3887,225,8924
Davis,905,2219,1578,6896
Appanoose,900,3109,374,7521
Montgomery,898,2011,499,5424
Wright,865,3416,1481,9156
Sac,830,2419,0,5670
Monroe,792,2105,199,5196
Clarke,776,2996,1249,7987
Butler,760,2946,65,6720
Decatur,746,2056,105,4976
Mitchell,718,3353,0,7436
Louisa,712,2341,1493,6858
Lyon,689,2096,25,4902
Chickasaw,684,1953,298,4882
Howard,655,1284,87,3298
Franklin,646,2620,175,6058
Palo Alto,615,2483,82,5696
Hancock,597,2168,552,5483
Pocahontas,537,1222,130,3109
Monona,496,1375,105,3337
Ringgold,456,1487,0,3455
Adams,441,1289,0,3086
Van Buren,418,994,69,2474
Adair,405,1581,254,3819
Worth,393,1200,0,2789
Audubon,351,1568,96,3580
Osceola,332,1039,120,2530
Taylor,322,1773,0,3927
Fremont,314,1228,72,2845
Keokuk,296,1177,100,2750
Ida,273,1183,361,3003
Out of State,256,4255,0,8407
