ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,262616,249159,13457
19021,10525,6924,3601
19027,10676,9539,1137
19049,45962,43398,2564
19181,17783,16723,1060
19013,72517,66254,6263
19033,26519,24506,2013
19169,51343,48423,2920
19195,1725,1724,1
19083,7430,6083,1347
19189,4376,3866,510
19155,48578,43660,4918
19139,18633,13601,5032
19009,2101,2000,101
19005,5646,5527,119
19099,14968,13802,1166
19103,93369,89025,4344
19017,13381,12089,1292
19065,10878,9936,942
19061,61361,59107,2254
19041,8403,8091,312
19147,3437,3276,161
19193,47485,42493,4992
19003,1662,1652,10
19173,2221,2197,24
19175,5141,4814,327
19067,7377,6254,1123
19063,4958,4571,387
19035,4911,4610,301
19123,7897,7313,584
19183,7689,7134,555
19179,12911,11931,980
19073,4866,4351,515
19113,128778,119749,9029
19019,6492,6149,343
19101,8264,7277,987
19127,16623,13640,2983
19109,6367,5865,502
19187,18107,16730,1377
19037,3121,2770,351
19011,7898,7432,466
19045,17945,16322,1623
19081,3703,2984,719
19131,4534,4364,170
19029,10496,10058,438
19135,3464,3158,306
19059,7773,7513,260
19159,2076,2070,6
19163,85024,78628,6396
19125,15887,11844,4043
19149,9960,6970,2990
19015,11726,11145,581
19141,5575,5214,361
19091,4292,3882,410
19151,2040,1879,161
19055,5344,4561,783
19031,6432,6142,290
19167,12570,9860,2710
19143,1679,1495,184
19161,3270,3216,54
19069,3691,3433,258
19133,2329,2110,219
19075,4934,4501,433
19171,9089,8105,984
19137,3766,3182,584
19111,13847,11832,2015
19197,6509,4778,1731
19047,7604,6012,1592
19077,4598,4319,279
19093,2088,1582,506
19051,4854,3184,1670
19025,4274,4084,190
19145,7495,6644,851
19057,18430,17699,731
19007,4636,4150,486
19157,9486,9043,443
19191,9097,8034,1063
19023,3976,3798,178
19087,9146,7184,1962
19001,2524,2189,335
19079,7256,6845,411
19095,6259,5632,627
19119,3035,2956,79
19043,6605,5936,669
19117,3795,3370,425
19039,5524,4159,1365
19107,1696,1596,100
19165,5839,5690,149
19185,3278,2885,393
19115,4723,3182,1541
19053,2952,2829,123
19177,1536,1410,126
19121,6982,6815,167
19085,3534,3277,257
,5212,5211,1
19105,7040,6107,933
19097,8203,7940,263
19129,5950,5795,155
19089,2327,2138,189
19071,1698,1600,98
