County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,619514,60217,50329,577,513,64
Linn,262879,20974,18941,321,289,32
Black Hawk,195403,16524,14510,299,278,21
Johnson,190401,14105,12861,76,71,5
Scott,188188,18768,16706,224,206,18
Dubuque,169905,13742,12052,200,186,14
Story,147560,10531,9355,46,40,6
Woodbury,131211,15480,13414,216,198,18
Dallas,116450,11737,9875,93,82,11
Pottawattamie,108263,11093,9573,149,132,17
Marshall,74684,5062,4518,74,66,8
Cerro Gordo,69986,5427,4863,85,71,14
Warren,68520,5746,4951,80,71,9
Webster,63478,5273,4803,88,74,14
Clinton,56291,5542,4853,87,76,11
Des Moines,51164,4655,4168,63,53,10
Lee,49430,3773,3465,54,41,13
Muscatine,48762,4655,4061,94,85,9
Jasper,46497,4266,3669,69,64,5
Wapello,42760,4530,3807,114,110,4
Buena Vista,41605,4802,4020,38,35,3
Boone,40479,2663,2365,30,28,2
Sioux,39468,5061,4660,69,66,3
Poweshiek,37805,1580,1438,31,28,3
Marion,37793,3673,3301,74,64,10
Washington,37295,2584,2336,48,44,4
Bremer,35146,2871,2575,57,48,9
Plymouth,34602,4062,3560,79,71,8
Winneshiek,34377,1942,1765,31,26,5
Benton,33743,2607,2274,54,44,10
Henry,33384,2955,2747,37,36,1
Carroll,33045,2916,2599,49,42,7
Fayette,31807,1880,1727,37,33,4
Hardin,31300,1861,1629,39,33,6
Tama,29891,2169,1919,68,65,3
Mahaska,28179,2284,2069,47,42,5
Cedar,27740,1838,1639,23,21,2
Buchanan,27713,1915,1706,30,26,4
Butler,26958,1693,1536,32,28,4
Iowa,26914,1488,1347,23,21,2
Clay,26751,2033,1802,25,20,5
Crawford,25240,2813,2454,36,31,5
Delaware,24591,1936,1803,39,35,4
Dickinson,23605,2325,1959,41,35,6
Jones,23452,2981,2778,55,51,4
Kossuth,23428,2147,1901,58,51,7
O'Brien,23355,2029,1720,58,54,4
Jackson,23332,2252,2039,40,37,3
Floyd,23075,1668,1422,41,31,10
Clayton,22546,1697,1546,55,46,9
Hamilton,21739,1937,1685,44,42,2
Mills,19775,1686,1449,20,17,3
Hancock,19426,1492,1334,33,27,6
Allamakee,19400,1524,1342,48,38,10
Wright,19360,1823,1697,32,27,5
Page,19348,1890,1762,19,18,1
Harrison,19279,1822,1589,70,66,4
Cass,19082,1390,1201,52,47,5
Cherokee,18844,1612,1398,37,29,8
Jefferson,18752,1406,1246,35,29,6
Madison,18714,1619,1398,19,15,4
Franklin,18151,1202,1061,20,19,1
Sac,18025,1291,1151,18,18,0
Grundy,17694,1405,1272,31,26,5
Calhoun,16853,1366,1268,11,11,0
Monona,16620,834,735,30,28,2
Guthrie,16574,1192,1058,28,23,5
Palo Alto,16441,1087,974,22,20,2
Appanoose,16290,1410,1172,47,43,4
Mitchell,16064,1339,1161,40,38,2
Winnebago,15987,1423,1248,31,26,5
Chickasaw,15945,1270,1174,15,13,2
Louisa,15759,1301,1168,48,41,7
Union,15658,1285,1153,31,26,5
Howard,15511,1056,958,22,18,4
Shelby,15055,1259,1099,34,31,3
Emmet,15018,1252,1096,40,38,2
Keokuk,14270,998,881,29,29,0
Humboldt,14179,1206,1095,25,22,3
Lyon,13938,1487,1408,41,37,4
Greene,13584,794,713,10,10,0
Montgomery,13071,1048,926,36,34,2
Pending Investigation,12399,1023,879,0,0,0
Clarke,12285,1023,908,21,21,0
Pocahontas,11937,867,788,19,19,0
Adair,11408,952,771,31,22,9
Worth,11379,711,647,8,7,1
Ida,11181,970,768,32,30,2
Audubon,10901,496,453,9,8,1
Davis,9968,848,727,24,23,1
Decatur,9438,591,548,9,9,0
Ringgold,8972,537,481,22,18,4
Monroe,8891,952,852,28,21,7
Lucas,8477,771,676,21,17,4
Taylor,7790,667,626,12,10,2
Van Buren,7728,564,521,18,15,3
Osceola,7503,717,654,15,13,2
Fremont,6654,602,539,10,8,2
Wayne,5713,542,423,21,17,4
Adams,4953,327,315,4,4,0
