County,Number of Doses
Polk,729644
Linn,339939
Johnson,248350
Scott,210954
Black Hawk,175122
Dubuque,143068
Dallas,139651
Story,139432
Woodbury,115509
Pottawattamie,109210
Warren,69025
Cerro Gordo,59818
Marshall,54687
Clinton,54181
Muscatine,53423
Jasper,48886
Webster,45686
Des Moines,45118
Marion,38311
Boone,37933
Wapello,36401
Lee,36047
Bremer,34228
Benton,33346
Sioux,30051
Winneshiek,29081
Washington,27931
Plymouth,27828
Carroll,27574
Jones,27288
Buchanan,25678
Poweshiek,25328
Buena Vista,25280
Cedar,25117
Fayette,24525
Jackson,23822
Henry,23425
Dickinson,22957
Iowa,22838
Tama,22685
Mahaska,21458
Hardin,20944
Hamilton,20935
Delaware,20525
Madison,19920
Jefferson,19471
Clay,19205
Butler,19103
Floyd,19052
Crawford,18729
Clayton,18328
Page,17850
Kossuth,17414
Cass,17197
Grundy,17076
Mills,16617
Wright,15810
O'Brien,15504
Allamakee,15485
Shelby,15390
Harrison,14473
Chickasaw,14457
Union,14401
Guthrie,14281
Cherokee,13594
Calhoun,13181
Appanoose,13167
Mitchell,12208
Montgomery,12123
Franklin,12027
Winnebago,12010
Louisa,11722
Hancock,11707
Sac,11616
Greene,11553
Clarke,10976
Emmet,10661
Keokuk,10625
Humboldt,10575
Howard,10266
Palo Alto,10265
Monona,10008
Lyon,9296
Worth,8860
Lucas,8845
Adair,8132
Monroe,7945
Pocahontas,7867
Audubon,7433
Davis,7395
Ida,7388
Decatur,7199
Fremont,6959
Van Buren,6675
Taylor,6620
Ringgold,6355
Wayne,6262
Osceola,5997
Adams,4642
.,152
