ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,258943,245851,13092
19021,10365,6776,3589
19027,10581,9465,1116
19049,45369,42876,2493
19181,17610,16584,1026
19013,71674,65483,6191
19033,26244,24271,1973
19169,50791,47961,2830
19195,1717,1716,1
19083,7391,6046,1345
19189,4339,3834,505
19155,48061,43194,4867
19139,18422,13450,4972
19009,2101,2000,101
19005,5618,5500,118
19099,14799,13648,1151
19103,92634,88352,4282
19017,13246,11980,1266
19065,10805,9877,928
19061,60890,58678,2212
19041,8325,8030,295
19147,3411,3258,153
19193,46851,41919,4932
19003,1652,1642,10
19173,2208,2186,22
19175,5089,4773,316
19067,7280,6208,1072
19063,4930,4545,385
19035,4852,4566,286
19123,7815,7242,573
19183,7602,7052,550
19179,12734,11787,947
19073,4842,4334,508
19113,127475,118632,8843
19019,6443,6104,339
19101,8166,7192,974
19127,16303,13386,2917
19109,6302,5806,496
19187,17903,16557,1346
19037,3106,2761,345
19011,7850,7386,464
19045,17686,16088,1598
19081,3688,2969,719
19131,4497,4334,163
19029,10443,10012,431
19135,3441,3138,303
19059,7693,7438,255
19159,2065,2059,6
19163,83981,77704,6277
19125,15767,11728,4039
19149,9886,6913,2973
19015,11574,10998,576
19141,5519,5168,351
19091,4261,3866,395
19151,2023,1867,156
19055,5310,4534,776
19031,6399,6113,286
19167,12456,9777,2679
19143,1662,1485,177
19161,3262,3211,51
19069,3671,3417,254
19133,2317,2105,212
19075,4879,4470,409
19171,9036,8052,984
19137,3732,3151,581
19111,13631,11676,1955
19197,6474,4756,1718
19047,7542,5950,1592
19077,4560,4290,270
19093,2077,1575,502
19051,4819,3152,1667
19025,4263,4081,182
19145,7426,6578,848
19057,18212,17490,722
19007,4604,4124,480
19157,9411,8980,431
19191,9011,7952,1059
19023,3969,3792,177
19087,9046,7106,1940
19001,2510,2177,333
19079,7204,6793,411
19095,6225,5604,621
19119,3016,2938,78
19043,6592,5928,664
19117,3741,3335,406
19039,5494,4127,1367
19107,1685,1585,100
19165,5794,5652,142
19185,3254,2869,385
19115,4699,3166,1533
19053,2938,2815,123
19177,1526,1407,119
19121,6935,6774,161
19085,3521,3266,255
,5211,5210,1
19105,6967,6062,905
19097,8144,7884,260
19129,5900,5750,150
19089,2316,2130,186
19071,1695,1597,98
