county_fips,metric_value
19153,0.688
19189,0.5379999999999999
19033,0.642
19011,0.596
19041,0.542
19175,0.52
19169,0.623
19057,0.521
19029,0.604
19001,0.506
19107,0.484
19093,0.512
19171,0.645
19049,0.6940000000000001
19047,0.5589999999999999
19121,0.5579999999999999
19079,0.647
19065,0.557
19159,0.528
19119,0.43799999999999997
19083,0.561
19027,0.6559999999999999
19111,0.518
19063,0.508
19157,0.588
19091,0.514
19099,0.5920000000000001
19195,0.528
19073,0.599
19137,0.575
19045,0.5579999999999999
19061,0.6729999999999999
19019,0.568
19097,0.5479999999999999
19013,0.61
19173,0.49200000000000007
19193,0.575
19143,0.47600000000000006
19151,0.546
19089,0.5379999999999999
19087,0.5479999999999999
19085,0.535
19149,0.545
19003,0.55
19051,0.4
19155,0.581
19053,0.419
19005,0.55
19181,0.613
19141,0.532
19067,0.5539999999999999
19179,0.501
19115,0.529
19177,0.428
19147,0.525
19117,0.474
19069,0.5479999999999999
19043,0.501
19025,0.614
19077,0.604
19075,0.639
19071,0.526
19039,0.564
19023,0.599
19183,0.6
19021,0.68
19101,0.473
19035,0.552
19031,0.616
19131,0.51
19197,0.598
19037,0.565
19163,0.609
19161,0.542
19105,0.604
19139,0.623
19059,0.593
19135,0.473
19081,0.506
19113,0.682
19007,0.478
19129,0.561
19015,0.652
19165,0.615
19133,0.557
19055,0.556
19103,0.735
19145,0.527
19167,0.442
19109,0.545
19191,0.617
19009,0.611
19095,0.654
19187,0.583
19017,0.616
19123,0.45
19127,0.664
19125,0.542
19185,0.43799999999999997
,0.63
