County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,227703,44114,37965,434,392,42
Linn,98254,17388,15544,268,247,21
Scott,72606,15010,13092,156,148,8
Johnson,67137,11747,10367,49,45,4
Black Hawk,58956,13328,11880,228,215,13
Woodbury,51037,12779,11491,175,162,13
Dubuque,49121,11125,10007,146,137,9
Story,47046,8437,7552,33,29,4
Dallas,44982,8563,7243,69,58,11
Pottawattamie,40771,8760,7554,111,98,13
Warren,23132,4173,3365,37,35,2
Cerro Gordo,20416,4529,4030,65,54,11
Webster,18935,4603,4104,68,61,7
Clinton,18444,4383,3810,61,55,6
Muscatine,18094,3773,3281,75,68,7
Des Moines,17825,3723,3284,40,36,4
Marshall,17452,4206,3827,60,56,4
Jasper,14989,3080,2570,55,53,2
Wapello,14172,3315,2828,95,93,2
Sioux,13660,4488,4081,51,50,1
Lee,13391,3069,2603,28,23,5
Buena Vista,13138,3855,3429,29,26,3
Marion,12928,2935,2377,52,45,7
Plymouth,11562,3460,3121,66,60,6
Boone,11366,2102,1673,16,14,2
Benton,10588,2051,1874,41,37,4
Washington,9965,2089,1643,31,30,1
Carroll,9861,2499,2184,33,27,6
Bremer,9804,2361,2149,48,44,4
Pending Investigation,9742,853,422,0,0,0
Henry,9408,2581,2335,30,30,0
Dickinson,8915,1814,1603,22,20,2
Mahaska,8763,1856,1472,36,33,3
Jones,8430,2674,2483,49,48,1
Winneshiek,8266,1473,1228,19,17,2
Buchanan,7889,1543,1332,20,19,1
Fayette,7628,1532,1201,22,20,2
Crawford,7614,2255,1957,22,19,3
Cedar,7549,1461,1256,19,18,1
Jackson,7548,1869,1677,31,30,1
Tama,7155,1832,1603,57,55,2
Poweshiek,7111,1286,1105,24,22,2
Clay,7082,1633,1443,19,15,4
Hardin,7027,1519,1353,30,26,4
Wright,6935,1598,1428,24,22,2
Iowa,6833,1208,1055,22,21,1
Delaware,6750,1695,1542,35,31,4
Mills,6736,1339,1203,16,15,1
Kossuth,6550,1653,1433,41,38,3
Floyd,6515,1349,1191,36,28,8
Jefferson,6361,1164,857,23,21,2
Hamilton,6357,1543,1336,28,27,1
Madison,6236,1119,847,9,8,1
Clayton,5882,1482,1268,48,41,7
Butler,5840,1414,1163,23,20,3
O'Brien,5713,1664,1477,54,50,4
Union,5676,1064,941,22,21,1
Harrison,5559,1515,1256,61,57,4
Cass,5303,1103,920,41,39,2
Page,5193,1423,1296,15,14,1
Winnebago,5142,1157,1022,29,24,5
Cherokee,5138,1357,1095,25,23,2
Allamakee,5072,1246,1033,26,22,4
Appanoose,5020,1061,883,38,38,0
Hancock,4987,1259,1036,24,19,5
Grundy,4817,1170,964,22,17,5
Guthrie,4788,1009,854,24,19,5
Mitchell,4785,1116,918,34,34,0
Calhoun,4656,1209,1135,9,9,0
Louisa,4627,1125,953,28,24,4
Sac,4562,1082,977,15,15,0
Chickasaw,4483,1089,973,11,10,1
Shelby,4434,997,855,26,26,0
Franklin,4336,981,813,18,17,1
Emmet,4295,1083,887,30,29,1
Humboldt,4048,1026,868,19,16,3
Clarke,3942,752,557,7,7,0
Lyon,3908,1312,1151,32,29,3
Palo Alto,3821,879,760,9,9,0
Howard,3677,796,620,18,14,4
Montgomery,3635,814,634,22,21,1
Greene,3568,669,601,7,7,0
Keokuk,3449,830,733,25,25,0
Lucas,3182,639,411,8,8,0
Monona,3162,603,509,16,15,1
Worth,3101,579,453,3,2,1
Pocahontas,3065,767,646,11,11,0
Adair,3050,664,512,20,16,4
Decatur,2862,467,383,4,4,0
Monroe,2806,776,522,18,16,2
Ida,2729,728,643,30,29,1
Davis,2704,680,577,20,19,1
Fremont,2270,488,432,5,3,2
Van Buren,2267,481,416,12,11,1
Taylor,2181,581,506,9,7,2
Audubon,2144,407,336,8,8,0
Osceola,2086,629,594,9,7,2
Ringgold,1996,411,325,9,8,1
Wayne,1893,411,331,21,17,4
Adams,1326,288,219,3,3,0
