ADMIN_ADDRESS_COUNTY,Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,279412,263742,15670
19059,8175,7883,292
19021,11386,7516,3870
19027,11355,10065,1290
19049,48822,46002,2820
19181,18658,17493,1165
19013,76287,69866,6421
19033,28037,25897,2140
19169,53868,50572,3296
19195,1773,1772,1
19083,7691,6340,1351
19189,4591,4078,513
19081,3808,3059,749
19155,51335,46317,5018
19139,19791,14484,5307
19009,2155,2054,101
19005,5925,5796,129
19099,15580,14357,1223
19103,96983,92300,4683
19017,14320,12820,1500
19065,11237,10277,960
19061,64113,61669,2444
19041,8750,8436,314
19063,5145,4720,425
19147,3573,3394,179
19193,50711,45634,5077
19003,1699,1677,22
19173,2308,2269,39
19175,5449,5093,356
19067,7848,6615,1233
19035,5186,4812,374
19123,8332,7743,589
19183,8112,7514,598
19179,13685,12626,1059
19073,5018,4493,525
19113,135589,125890,9699
19019,6934,6551,383
19101,8649,7646,1003
19127,17781,14523,3258
19109,6614,6080,534
19187,19250,17815,1435
19037,3226,2864,362
19011,8215,7723,492
19141,5835,5410,425
19045,19109,17374,1735
19131,4728,4532,196
19029,10837,10364,473
19135,3653,3275,378
19159,2173,2167,6
19163,89583,82726,6857
19125,16701,12514,4187
19149,10343,7348,2995
19015,12203,11585,618
19091,4475,4039,436
19151,2128,1946,182
19055,5680,4858,822
19031,6668,6364,304
19167,13142,10354,2788
19143,1744,1540,204
19161,3320,3244,76
19069,3854,3567,287
19133,2427,2193,234
19075,5262,4747,515
19171,9337,8352,985
19137,4016,3410,606
19111,14860,12633,2227
19197,6865,5036,1829
19047,7977,6368,1609
19077,4802,4475,327
19093,2164,1621,543
19051,5038,3338,1700
19025,4350,4122,228
19145,7868,7011,857
19057,19745,18942,803
19007,4847,4327,520
19157,9852,9365,487
19191,9565,8494,1071
19023,4033,3840,193
19087,9768,7634,2134
19053,3059,2921,138
19097,8607,8304,303
19001,2594,2250,344
19079,7530,7097,433
19039,5815,4427,1388
19095,6431,5768,663
19119,3162,3034,128
19043,6715,6047,668
19085,3649,3376,273
19117,3915,3472,443
19107,1729,1629,100
19165,6144,5947,197
19185,3361,2947,414
19115,4841,3257,1584
19121,7250,7057,193
19177,1579,1430,149
,5331,5330,1
19105,7369,6376,993
19129,6472,6288,184
19089,2479,2233,246
19071,1726,1628,98
