County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,754079,65782,57498,643,564,79
Linn,317532,22727,20789,341,305,36
Scott,235339,21782,20047,249,225,24
Black Hawk,232093,17870,15678,316,292,24
Johnson,229323,15544,14506,85,77,8
Dubuque,206485,14857,13265,213,195,18
Story,171588,11494,10642,48,42,6
Woodbury,157268,16574,15004,230,211,19
Dallas,137740,12654,11169,99,85,14
Pottawattamie,127670,12381,11041,177,153,24
Marshall,88578,5269,4790,76,68,8
Cerro Gordo,84867,6011,5413,97,80,17
Warren,84172,6368,5732,92,82,10
Webster,73978,5509,5044,94,79,15
Clinton,70098,6099,5520,93,79,14
Des Moines,62392,5071,4604,73,61,12
Muscatine,61082,5238,4771,106,97,9
Lee,59485,4112,3763,57,44,13
Jasper,55896,4569,4140,73,67,6
Wapello,51133,4722,4208,122,118,4
Sioux,48717,5358,5094,74,71,3
Poweshiek,48230,1654,1539,36,33,3
Buena Vista,47508,4981,4222,40,36,4
Boone,47036,2880,2652,34,31,3
Marion,45691,3866,3596,77,65,12
Washington,45037,2750,2518,51,47,4
Bremer,43300,3033,2810,62,52,10
Winneshiek,42950,2083,1941,35,30,5
Plymouth,40846,4344,3945,82,74,8
Benton,40709,2785,2525,55,44,11
Carroll,39428,3089,2819,52,43,9
Henry,39306,3105,2906,37,36,1
Fayette,38877,1958,1822,43,38,5
Hardin,38062,2021,1832,44,34,10
Tama,35054,2258,2039,72,68,4
Cedar,34142,2016,1889,23,21,2
Buchanan,34117,2058,1893,34,27,7
Mahaska,33793,2440,2263,51,46,5
Clay,33087,2279,2137,27,22,5
Iowa,31849,1563,1478,24,22,2
Butler,31481,1764,1622,35,31,4
Delaware,31443,2160,2064,43,38,5
Crawford,30122,2937,2647,41,35,6
Dickinson,29345,2693,2453,45,39,6
Jones,28807,3143,2953,57,51,6
Kossuth,28219,2287,2104,66,57,9
Jackson,28155,2383,2213,42,39,3
Floyd,28006,1819,1585,42,32,10
O'Brien,27662,2151,1941,61,56,5
Clayton,27555,1803,1659,57,48,9
Hamilton,24807,2015,1766,51,46,5
Hancock,23608,1605,1464,34,27,7
Jefferson,23079,1468,1308,35,29,6
Allamakee,23040,1593,1473,52,42,10
Page,23031,2011,1925,22,20,2
Madison,22762,1792,1630,19,15,4
Mills,22540,1812,1609,24,21,3
Harrison,22521,1937,1727,73,69,4
Cherokee,22465,1703,1554,38,30,8
Sac,22073,1397,1292,20,19,1
Wright,21945,1940,1824,40,33,7
Cass,21924,1476,1341,55,49,6
Franklin,21849,1349,1206,23,21,2
Grundy,20469,1456,1338,33,27,6
Palo Alto,20168,1197,1108,24,23,1
Guthrie,20157,1319,1202,32,26,6
Calhoun,19924,1453,1376,13,12,1
Appanoose,19475,1470,1243,49,44,5
Mitchell,19449,1378,1232,43,40,3
Winnebago,19295,1562,1410,31,26,5
Monona,19200,899,808,31,29,2
Chickasaw,18983,1323,1234,17,14,3
Louisa,18977,1367,1250,49,42,7
Union,18640,1383,1268,35,27,8
Shelby,18372,1386,1279,37,33,4
Emmet,18242,1443,1313,41,39,2
Howard,18017,1100,1024,22,18,4
Lyon,17737,1613,1551,41,37,4
Keokuk,16818,1045,933,32,31,1
Humboldt,16459,1253,1170,26,23,3
Greene,15886,829,770,11,10,1
Montgomery,15161,1117,1000,38,36,2
Worth,14734,807,752,8,7,1
Pocahontas,14523,904,838,22,22,0
Clarke,14499,1075,986,24,22,2
Audubon,14075,554,518,11,10,1
Ida,13331,1029,876,35,32,3
Adair,12901,999,842,32,22,10
Davis,12109,925,825,25,23,2
Decatur,11121,640,610,9,9,0
Ringgold,10777,586,541,24,18,6
Monroe,10493,1010,929,32,24,8
Lucas,10241,810,759,23,18,5
Osceola,9806,816,775,17,14,3
Taylor,9620,690,654,12,10,2
Van Buren,9316,593,547,18,15,3
Fremont,8078,663,621,10,8,2
Pending Investigation,7963,978,937,0,0,0
Wayne,7881,590,520,23,18,5
Adams,6291,357,342,4,4,0
