County,Series Initiated,Series Completed
Polk,54439,26615
Linn,23330,13722
Johnson,21176,15565
Scott,17768,7151
Black Hawk,16955,6257
Dubuque,11053,6995
Pottawattamie,10148,6442
Woodbury,9525,5403
Story,8488,4795
Dallas,6391,3252
Cerro Gordo,6322,3064
Des Moines,4383,1916
Webster,3783,2057
Warren,3631,1704
Clinton,3606,1395
Jasper,3285,1978
Plymouth,3021,390
Marion,2853,1020
Sioux,2717,1213
Wapello,2704,1427
Bremer,2694,2716
Lee,2601,1676
Marshall,2510,974
Muscatine,2307,999
Jackson,2286,513
Poweshiek,2161,444
Tama,2092,415
Benton,2091,888
Kossuth,2073,350
Boone,2063,1577
Dickinson,1959,649
Clay,1854,1859
Washington,1839,460
Fayette,1836,521
Clayton,1793,517
Mahaska,1792,435
Winneshiek,1789,819
Hamilton,1766,532
Carroll,1734,1669
Buena Vista,1714,611
Cedar,1705,573
Iowa,1691,394
Floyd,1662,338
Madison,1650,353
Buchanan,1601,723
Page,1598,792
Henry,1568,661
Crawford,1545,487
Jones,1514,618
Butler,1511,200
Jefferson,1358,503
Mills,1353,560
Allamakee,1347,417
Hardin,1332,807
Shelby,1326,496
O'Brien,1287,746
Cass,1282,602
Mitchell,1263,238
Harrison,1237,224
Grundy,1185,475
Sac,1125,230
Louisa,1108,144
Chickasaw,1081,222
Union,1072,414
Franklin,1041,257
Cherokee,1016,603
Lyon,1005,201
Wright,983,608
Guthrie,978,338
Calhoun,940,453
Delaware,897,750
Winnebago,888,289
Appanoose,885,374
Lucas,875,180
Hancock,865,345
Montgomery,815,380
Taylor,807,97
Greene,795,290
Davis,776,167
Monroe,770,228
Monona,768,260
Wayne,759,395
Emmet,733,259
Worth,679,101
Fremont,662,144
Palo Alto,651,453
Humboldt,630,319
Ringgold,623,252
Out of State,607,3219
Howard,582,248
Pocahontas,572,141
Adair,571,150
Ida,568,246
Audubon,553,323
Osceola,547,160
Van Buren,529,130
Decatur,487,225
Clarke,472,241
Adams,466,125
Keokuk,455,229
