County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,229412,44682,38539,440,397,43
Linn,98855,17517,15662,269,248,21
Scott,73046,15142,13265,161,152,9
Johnson,67774,11874,10439,49,45,4
Black Hawk,59339,13499,12029,228,215,13
Woodbury,51313,12873,11623,175,162,13
Dubuque,49427,11210,10080,148,139,9
Story,47716,8544,7634,33,29,4
Dallas,45337,8682,7338,69,58,11
Pottawattamie,41036,8844,7674,112,99,13
Warren,23280,4284,3433,37,35,2
Cerro Gordo,20584,4583,4079,66,55,11
Webster,19074,4643,4158,68,61,7
Clinton,18587,4425,3862,61,55,6
Muscatine,18226,3806,3310,75,68,7
Des Moines,17960,3760,3323,40,36,4
Marshall,17582,4237,3881,61,56,5
Jasper,15103,3146,2604,55,53,2
Wapello,14288,3361,2861,96,94,2
Sioux,13755,4520,4119,51,50,1
Lee,13480,3097,2657,28,23,5
Buena Vista,13215,3879,3495,29,26,3
Marion,13027,2971,2422,52,45,7
Plymouth,11620,3477,3167,67,61,6
Boone,11533,2136,1696,16,14,2
Benton,10669,2075,1889,43,39,4
Washington,10038,2123,1693,31,30,1
Carroll,9926,2515,2219,33,27,6
Bremer,9866,2386,2166,48,44,4
Pending Investigation,9787,922,456,0,0,0
Henry,9473,2615,2360,30,30,0
Dickinson,8963,1830,1627,25,23,2
Mahaska,8851,1886,1509,36,33,3
Jones,8477,2686,2500,49,48,1
Winneshiek,8332,1506,1257,19,17,2
Buchanan,7939,1561,1351,20,19,1
Fayette,7705,1561,1217,22,20,2
Crawford,7648,2268,1975,22,19,3
Cedar,7617,1485,1276,19,18,1
Jackson,7611,1890,1693,31,30,1
Tama,7190,1841,1626,57,55,2
Poweshiek,7163,1300,1114,24,22,2
Clay,7130,1649,1460,19,15,4
Hardin,7072,1529,1377,29,26,3
Wright,6981,1613,1447,24,22,2
Iowa,6887,1218,1071,22,21,1
Mills,6787,1348,1214,16,15,1
Delaware,6782,1708,1547,36,32,4
Kossuth,6603,1691,1466,41,38,3
Floyd,6574,1370,1203,36,28,8
Jefferson,6423,1184,873,23,21,2
Hamilton,6400,1565,1357,28,27,1
Madison,6302,1151,870,9,8,1
Clayton,5927,1498,1284,48,41,7
Butler,5885,1442,1168,23,20,3
O'Brien,5753,1674,1494,54,50,4
Union,5724,1078,955,22,21,1
Harrison,5587,1522,1283,61,57,4
Cass,5340,1115,939,41,39,2
Page,5228,1430,1309,15,14,1
Cherokee,5191,1367,1121,25,23,2
Winnebago,5184,1169,1038,29,24,5
Allamakee,5098,1255,1053,27,23,4
Appanoose,5058,1084,891,38,38,0
Hancock,5029,1276,1073,24,19,5
Grundy,4844,1181,982,22,17,5
Mitchell,4825,1144,933,34,34,0
Guthrie,4816,1018,859,24,19,5
Calhoun,4676,1215,1145,9,9,0
Louisa,4653,1134,966,29,25,4
Sac,4596,1098,989,15,15,0
Chickasaw,4535,1100,983,11,10,1
Shelby,4464,1008,868,26,26,0
Franklin,4373,998,823,18,17,1
Emmet,4344,1096,906,31,30,1
Humboldt,4086,1036,884,19,16,3
Clarke,3985,768,571,7,7,0
Lyon,3947,1330,1164,32,29,3
Palo Alto,3844,893,772,9,9,0
Howard,3705,809,634,19,15,4
Montgomery,3679,827,648,22,21,1
Greene,3591,679,613,7,7,0
Keokuk,3469,838,746,25,25,0
Lucas,3203,644,444,8,8,0
Monona,3190,622,516,16,15,1
Worth,3127,587,462,3,2,1
Pocahontas,3076,771,660,11,11,0
Adair,3075,675,528,20,16,4
Decatur,2891,472,388,4,4,0
Monroe,2834,793,539,18,16,2
Ida,2751,734,652,30,29,1
Davis,2710,682,590,21,20,1
Van Buren,2287,488,422,12,11,1
Fremont,2287,500,437,5,3,2
Taylor,2200,588,512,9,7,2
Audubon,2155,410,347,8,8,0
Osceola,2101,631,596,9,7,2
Ringgold,2019,420,329,9,8,1
Wayne,1896,413,338,21,17,4
Adams,1340,291,225,3,3,0
