County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,251179,50411,45982,535,477,58
Linn,107275,19181,17646,305,278,27
Scott,78827,16827,15541,199,186,13
Johnson,73087,12886,12100,72,67,5
Black Hawk,65336,14730,13724,280,264,16
Woodbury,54731,13529,12915,210,194,16
Dubuque,53069,12182,11339,190,177,13
Story,52249,9343,8718,44,38,6
Dallas,49432,9881,8953,88,77,11
Pottawattamie,43876,9649,8986,140,125,15
Warren,25564,4986,4483,69,64,5
Cerro Gordo,22837,4934,4646,79,67,12
Clinton,20445,4889,4487,81,73,8
Webster,20143,4867,4648,85,71,14
Muscatine,19672,4131,3847,88,79,9
Marshall,19638,4560,4242,70,63,7
Des Moines,19524,4183,3854,55,48,7
Jasper,16617,3663,3267,65,61,4
Wapello,16534,3857,3447,105,102,3
Sioux,14687,4712,4521,67,64,3
Lee,14686,3475,3184,51,38,13
Marion,14504,3344,3040,66,58,8
Buena Vista,13930,4054,3925,36,33,3
Boone,12681,2375,2189,30,28,2
Plymouth,12378,3626,3454,77,69,8
Benton,11608,2312,2056,54,44,10
Bremer,11241,2628,2438,53,47,6
Washington,10952,2364,2179,43,40,3
Carroll,10598,2636,2531,47,39,8
Henry,10174,2773,2636,35,35,0
Mahaska,9646,2117,1926,44,39,5
Dickinson,9547,1984,1845,38,32,6
Winneshiek,9287,1778,1568,26,22,4
Jones,9171,2834,2685,54,50,4
Buchanan,8648,1728,1591,27,24,3
Fayette,8503,1756,1617,32,29,3
Cedar,8341,1646,1523,22,21,1
Jackson,8332,2074,1913,37,34,3
Crawford,8217,2464,2297,35,31,4
Poweshiek,8150,1455,1325,29,27,2
Tama,7874,1983,1839,64,62,2
Hardin,7714,1656,1533,35,31,4
Clay,7701,1820,1687,25,20,5
Iowa,7492,1360,1251,23,21,2
Wright,7478,1712,1641,31,26,5
Delaware,7314,1844,1708,38,33,5
Kossuth,7251,1937,1763,54,47,7
Mills,7186,1460,1367,20,17,3
Floyd,7160,1462,1371,38,30,8
Jefferson,7142,1267,1200,32,27,5
Madison,7033,1377,1213,17,13,4
Hamilton,7022,1713,1576,40,39,1
Pending Investigation,6603,885,779,0,0,0
Butler,6536,1570,1473,30,27,3
Clayton,6451,1587,1488,53,45,8
O'Brien,6163,1773,1655,58,54,4
Union,6112,1174,1079,31,26,5
Harrison,6014,1650,1509,68,64,4
Cass,5843,1239,1100,48,45,3
Page,5829,1660,1553,19,18,1
Winnebago,5694,1275,1185,30,25,5
Cherokee,5579,1430,1362,35,29,6
Allamakee,5570,1385,1264,41,35,6
Hancock,5564,1363,1288,28,23,5
Appanoose,5551,1199,1077,47,43,4
Grundy,5361,1289,1198,30,25,5
Guthrie,5170,1073,1015,28,23,5
Mitchell,5115,1189,1138,40,38,2
Chickasaw,5052,1178,1130,13,12,1
Louisa,5033,1201,1122,41,34,7
Calhoun,4943,1272,1223,10,10,0
Shelby,4938,1134,1011,32,29,3
Sac,4919,1159,1098,17,17,0
Franklin,4845,1082,1011,19,18,1
Emmet,4646,1135,1066,39,37,2
Clarke,4487,919,787,20,20,0
Humboldt,4401,1116,1036,23,20,3
Lyon,4265,1435,1342,41,37,4
Howard,4163,967,830,20,16,4
Palo Alto,4155,987,904,21,19,2
Montgomery,4113,954,851,36,34,2
Keokuk,3834,902,838,29,29,0
Greene,3814,722,692,10,10,0
Lucas,3505,692,644,20,17,3
Monona,3475,756,686,25,24,1
Worth,3440,649,615,4,3,1
Adair,3332,787,671,26,20,6
Decatur,3258,544,497,9,9,0
Pocahontas,3234,804,765,18,18,0
Monroe,3130,873,797,27,21,6
Davis,3111,747,681,23,22,1
Ida,3024,802,723,32,30,2
Van Buren,2528,533,485,17,14,3
Fremont,2464,546,521,9,7,2
Audubon,2408,464,406,9,8,1
Taylor,2357,633,592,11,9,2
Osceola,2237,665,634,14,12,2
Ringgold,2213,495,448,16,15,1
Wayne,2035,443,398,21,17,4
Adams,1459,317,296,3,3,0
