County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,730901,65356,56463,636,558,78
Linn,307152,22433,20311,338,302,36
Scott,225263,21649,19444,244,220,24
Black Hawk,223947,17401,15432,309,286,23
Johnson,221533,15443,14264,85,77,8
Dubuque,202037,14749,13077,209,193,16
Story,168247,11444,10459,48,42,6
Woodbury,152870,16503,14860,229,210,19
Dallas,133983,12583,10985,99,85,14
Pottawattamie,124977,12296,10851,171,149,22
Marshall,85791,5232,4737,76,68,8
Warren,81654,6313,5620,90,80,10
Cerro Gordo,81029,5929,5245,90,75,15
Webster,71526,5421,5012,94,79,15
Clinton,67454,6072,5405,93,79,14
Des Moines,59327,5010,4443,67,55,12
Muscatine,58985,5198,4642,104,95,9
Lee,56584,4040,3671,55,42,13
Jasper,54507,4551,4083,72,67,5
Wapello,49435,4694,4152,122,118,4
Sioux,47841,5334,5036,74,71,3
Poweshiek,47467,1642,1515,35,32,3
Buena Vista,46445,4911,4200,40,36,4
Boone,46061,2865,2590,34,31,3
Marion,44394,3849,3536,76,65,11
Washington,43656,2727,2474,51,47,4
Winneshiek,41714,2049,1929,35,30,5
Bremer,41527,3001,2759,60,51,9
Plymouth,39983,4325,3918,80,72,8
Benton,39264,2736,2490,55,44,11
Carroll,38367,3077,2788,52,43,9
Fayette,37961,1935,1809,42,37,5
Henry,37940,3083,2864,37,36,1
Hardin,37070,2000,1804,44,34,10
Tama,33759,2235,2013,71,67,4
Buchanan,32965,2027,1869,33,27,6
Cedar,32875,2000,1856,23,21,2
Mahaska,32840,2427,2229,51,46,5
Clay,32182,2264,2121,27,22,5
Iowa,30958,1559,1458,24,22,2
Delaware,30709,2153,2032,41,37,4
Butler,30649,1752,1597,35,31,4
Crawford,29358,2922,2598,40,35,5
Dickinson,28532,2683,2434,44,38,6
Jones,27984,3130,2904,57,51,6
Kossuth,27372,2279,2090,65,56,9
O'Brien,27245,2149,1930,61,56,5
Jackson,27125,2375,2164,42,39,3
Floyd,26915,1803,1554,42,32,10
Clayton,26569,1796,1638,56,47,9
Hamilton,24211,1996,1745,50,45,5
Hancock,22737,1595,1427,34,27,7
Page,22481,2000,1898,22,20,2
Allamakee,22455,1577,1451,51,41,10
Harrison,22148,1930,1717,73,69,4
Madison,22029,1782,1571,19,15,4
Mills,22024,1794,1593,23,20,3
Jefferson,21747,1454,1297,35,29,6
Cherokee,21594,1692,1543,38,30,8
Sac,21564,1392,1278,19,19,0
Wright,21541,1925,1792,38,31,7
Cass,21497,1474,1325,54,48,6
Franklin,20877,1330,1132,21,19,2
Grundy,20025,1446,1329,33,27,6
Palo Alto,19659,1193,1095,23,22,1
Guthrie,19546,1304,1181,32,26,6
Calhoun,19362,1440,1340,13,12,1
Appanoose,18808,1463,1229,49,44,5
Mitchell,18758,1378,1226,42,39,3
Monona,18747,886,801,31,29,2
Winnebago,18603,1545,1374,31,26,5
Chickasaw,18438,1312,1221,16,14,2
Louisa,18158,1356,1233,49,42,7
Union,18085,1372,1244,34,26,8
Shelby,18076,1376,1270,37,33,4
Emmet,17863,1431,1280,40,38,2
Howard,17513,1094,1020,22,18,4
Lyon,17267,1597,1531,41,37,4
Keokuk,16343,1035,924,31,31,0
Humboldt,15981,1241,1161,26,23,3
Greene,15569,827,763,10,10,0
Montgomery,14893,1113,988,38,36,2
Clarke,14099,1064,969,24,22,2
Pocahontas,14081,905,834,22,22,0
Worth,13936,798,728,8,7,1
Audubon,13034,536,488,10,9,1
Ida,13030,1024,865,35,32,3
Adair,12643,995,830,32,22,10
Davis,11788,919,784,24,23,1
Decatur,10810,628,595,9,9,0
Ringgold,10467,579,538,24,18,6
Monroe,10178,1002,922,29,22,7
Lucas,9911,808,748,23,18,5
Osceola,9575,815,762,16,13,3
Taylor,9181,688,646,12,10,2
Van Buren,8909,588,540,18,15,3
Pending Investigation,8247,992,938,0,0,0
Fremont,7942,661,614,9,7,2
Wayne,7583,584,507,23,18,5
Adams,6021,352,336,4,4,0
