County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,33557,220928,11061,486189
Linn,11246,110189,8082,238448
Scott,8981,71513,5716,158945
Johnson,8465,82724,3880,177433
Black Hawk,6093,60880,5802,133890
Story,5980,44530,2559,96788
Pottawattamie,5232,39829,4745,90564
Dallas,4757,39262,2231,84091
Woodbury,4584,38862,4567,86465
Dubuque,4424,55577,1985,117371
Cerro Gordo,2504,22647,1684,49547
Des Moines,2164,16182,667,35229
Clinton,1842,14635,1422,32608
Warren,1737,15543,888,33541
Webster,1609,15622,1139,34267
Marshall,1545,12087,2632,28277
Muscatine,1434,12426,4728,31147
Bremer,1162,11209,1157,24728
Jasper,1137,12727,1037,27430
Lee,1092,10911,1744,24899
Wapello,1072,10985,609,23771
Tama,1050,7435,964,16914
Boone,999,10271,516,22009
Marion,938,11080,3981,27229
Winneshiek,840,7253,951,16282
Jefferson,820,6660,916,15053
Carroll,809,8826,1049,19677
Buena Vista,752,6233,3280,16590
Page,700,6271,708,13986
Washington,689,6596,499,14386
Clay,652,7625,224,16070
Mills,647,4970,139,10742
Poweshiek,641,8520,400,17985
Sioux,633,9327,2580,21881
Emmet,598,4406,354,9880
Cass,573,9668,401,20529
Fayette,567,9536,879,20535
Dickinson,557,7086,212,14946
Plymouth,550,6531,2873,16521
Mahaska,547,6908,475,14882
Henry,510,6808,1784,15962
Kossuth,500,5464,463,11934
Wright,491,4391,1663,10916
Union,440,4452,268,9521
Jackson,439,7542,237,15748
Jones,430,5698,806,12688
Benton,416,7109,438,15085
Crawford,410,5600,1567,13203
Greene,391,4050,480,9046
O'Brien,380,4882,314,10466
Buchanan,375,5791,297,12253
Madison,362,6553,144,13672
Hardin,362,5766,1287,13232
Grundy,360,4313,355,9351
Allamakee,349,5355,105,11169
Clarke,339,3881,1351,9463
Floyd,337,5952,983,13244
Hamilton,337,6519,396,13925
Cedar,330,5881,265,12326
Appanoose,317,3962,458,8792
Delaware,307,4280,728,9557
Iowa,304,5403,582,11715
Winnebago,302,3636,481,8075
Harrison,293,3185,220,6894
Montgomery,289,2999,557,6870
Shelby,287,5433,108,11308
Guthrie,274,4113,235,8750
Humboldt,268,3730,370,8239
Cherokee,253,4396,242,9296
Out of State,247,5211,1,10368
Lucas,239,3142,376,6994
Clayton,222,5833,642,12575
Franklin,222,3257,227,6976
Monroe,211,2984,270,6478
Adair,209,2055,324,4583
Wayne,203,2800,370,6274
Decatur,199,2714,118,5838
Davis,196,3080,1649,8032
Howard,188,1983,159,4298
Monona,180,1967,180,4278
Palo Alto,179,3149,140,6647
Mitchell,179,4197,134,8723
Louisa,166,3090,1517,7840
Ringgold,121,1963,4,4104
Hancock,119,2884,704,6591
Adams,114,1590,6,3483
Chickasaw,110,2689,316,5797
Sac,110,3182,45,6537
Ida,106,1509,478,3598
Lyon,103,2898,70,5979
Calhoun,100,4038,162,8368
Pocahontas,98,1798,144,3841
Butler,96,3769,159,7809
Taylor,94,2141,15,4415
Audubon,81,1927,101,4033
Worth,79,1653,1,3383
Fremont,77,1549,94,3270
Van Buren,74,1389,99,2953
Osceola,56,1435,158,3084
Keokuk,45,1546,100,3235
