Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.1608440797186401,American Indian or Alaska Native
Asian,0.35849213614046768,Asian
Black,0.18460637758089069,Black
Native Hawaiian or Other Pacific Islander,0.3259783513738551,Native Hawaiian or Other Pacific Islander
Other Race,0.49759296953248685,Other Race
White,0.4066066706772808,White
