Age Group Public,RECIP_ID
0 - 11,17
12 - 15,112937
16 - 17,67101
18 - 19,74754
20 - 29,363952
30 - 39,399693
40 - 49,409810
50 - 59,495420
60 - 64,303075
65+,933191
