County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,738823,65506,56994,636,558,78
Linn,310855,22547,20519,338,302,36
Scott,228715,21703,19806,244,220,24
Black Hawk,226003,17495,15509,310,287,23
Johnson,224003,15470,14382,85,77,8
Dubuque,203904,14794,13150,211,195,16
Story,169394,11468,10559,48,42,6
Woodbury,154366,16525,14920,229,210,19
Dallas,135280,12613,11081,99,85,14
Pottawattamie,126076,12337,10956,173,150,23
Marshall,86434,5235,4757,76,68,8
Warren,82696,6330,5685,90,80,10
Cerro Gordo,82256,5958,5307,91,76,15
Webster,72134,5428,5033,94,79,15
Clinton,68467,6088,5465,93,79,14
Des Moines,60588,5035,4504,69,57,12
Muscatine,59647,5211,4705,106,97,9
Lee,57533,4058,3714,56,43,13
Jasper,54996,4554,4119,72,67,5
Wapello,50048,4699,4178,122,118,4
Sioux,48163,5345,5073,74,71,3
Poweshiek,47776,1647,1520,36,33,3
Buena Vista,46782,4916,4206,40,36,4
Boone,46446,2867,2617,34,31,3
Marion,44956,3862,3566,76,65,11
Washington,44112,2736,2496,51,47,4
Winneshiek,41979,2054,1936,35,30,5
Bremer,41884,3014,2781,60,51,9
Plymouth,40320,4336,3931,81,73,8
Benton,39732,2746,2512,55,44,11
Carroll,38656,3077,2809,52,43,9
Henry,38475,3091,2882,37,36,1
Fayette,38200,1943,1814,43,38,5
Hardin,37403,2005,1812,44,34,10
Tama,34309,2239,2022,71,67,4
Buchanan,33281,2035,1876,33,27,6
Mahaska,33269,2431,2244,51,46,5
Cedar,33244,2007,1875,23,21,2
Clay,32455,2276,2129,27,22,5
Iowa,31261,1561,1467,24,22,2
Delaware,30967,2157,2052,42,38,4
Butler,30888,1751,1610,35,31,4
Crawford,29693,2924,2624,40,35,5
Dickinson,28943,2685,2442,44,38,6
Jones,28277,3137,2933,57,51,6
Kossuth,27672,2283,2098,65,56,9
O'Brien,27444,2154,1935,61,56,5
Jackson,27436,2383,2179,42,39,3
Floyd,27211,1808,1565,42,32,10
Clayton,26890,1799,1648,57,48,9
Hamilton,24426,2002,1752,51,46,5
Hancock,22984,1597,1445,34,27,7
Page,22672,2012,1907,22,20,2
Allamakee,22635,1583,1464,52,42,10
Harrison,22316,1935,1721,73,69,4
Madison,22269,1787,1607,19,15,4
Mills,22176,1797,1601,24,21,3
Jefferson,22172,1455,1298,35,29,6
Cherokee,22077,1694,1547,38,30,8
Sac,21777,1393,1285,20,19,1
Cass,21724,1477,1340,54,48,6
Wright,21676,1930,1808,40,33,7
Franklin,21293,1341,1170,23,21,2
Grundy,20167,1448,1333,33,27,6
Palo Alto,19874,1194,1102,23,22,1
Guthrie,19851,1311,1190,32,26,6
Calhoun,19571,1439,1372,13,12,1
Appanoose,19089,1470,1230,49,44,5
Mitchell,18954,1377,1232,42,39,3
Winnebago,18875,1556,1393,31,26,5
Monona,18844,888,800,31,29,2
Chickasaw,18616,1316,1229,16,14,2
Louisa,18346,1362,1235,49,42,7
Union,18267,1380,1252,35,27,8
Shelby,18166,1373,1276,37,33,4
Emmet,18021,1435,1297,41,39,2
Howard,17680,1095,1024,22,18,4
Lyon,17405,1597,1540,41,37,4
Keokuk,16500,1031,927,32,31,1
Humboldt,16096,1244,1165,26,23,3
Greene,15639,829,765,11,10,1
Montgomery,15000,1115,997,38,36,2
Pocahontas,14284,903,837,22,22,0
Clarke,14237,1068,978,24,22,2
Worth,14173,801,741,8,7,1
Audubon,13419,546,500,10,9,1
Ida,13142,1027,865,35,32,3
Adair,12739,993,836,32,22,10
Davis,11907,922,804,25,23,2
Decatur,10921,629,605,9,9,0
Ringgold,10533,580,539,24,18,6
Monroe,10279,1005,923,29,22,7
Lucas,10051,808,753,23,18,5
Osceola,9689,818,773,16,13,3
Taylor,9347,687,649,12,10,2
Van Buren,9028,591,542,18,15,3
Pending Investigation,8119,981,941,0,0,0
Fremont,7985,662,617,9,7,2
Wayne,7702,585,516,23,18,5
Adams,6118,355,337,4,4,0
