County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,224363,43003,36828,421,382,39
Linn,96995,17089,15301,258,239,19
Scott,71261,14593,12678,153,145,8
Johnson,66101,11484,10186,47,43,4
Black Hawk,58188,13084,11654,222,209,13
Woodbury,50492,12584,11265,172,159,13
Dubuque,48488,10879,9814,140,132,8
Story,46523,8273,7377,32,28,4
Dallas,44288,8278,7012,66,56,10
Pottawattamie,40238,8575,7308,102,91,11
Warren,22786,4021,3225,37,35,2
Cerro Gordo,20156,4454,3937,63,52,11
Webster,18769,4550,3978,66,59,7
Clinton,18137,4274,3695,60,54,6
Muscatine,17846,3685,3202,75,68,7
Des Moines,17529,3641,3211,37,34,3
Marshall,17249,4156,3762,58,55,3
Jasper,14754,2998,2471,55,53,2
Wapello,13923,3228,2747,93,91,2
Sioux,13504,4429,3986,47,46,1
Lee,13192,2992,2503,28,23,5
Buena Vista,13012,3811,3317,27,24,3
Marion,12745,2860,2269,50,43,7
Plymouth,11450,3426,3047,62,56,6
Boone,11146,2035,1613,15,13,2
Benton,10472,2030,1831,40,36,4
Pending Investigation,10026,814,396,0,0,0
Washington,9832,2003,1583,29,28,1
Carroll,9741,2455,2131,31,25,6
Bremer,9630,2313,2118,46,43,3
Henry,9301,2538,2260,29,29,0
Dickinson,8826,1767,1555,21,19,2
Mahaska,8617,1809,1400,35,32,3
Jones,8294,2643,2447,48,47,1
Winneshiek,8096,1425,1166,19,17,2
Buchanan,7770,1504,1305,17,16,1
Crawford,7530,2208,1897,22,19,3
Fayette,7491,1484,1167,21,20,1
Cedar,7441,1430,1213,19,18,1
Jackson,7429,1827,1639,30,29,1
Tama,7067,1809,1574,57,55,2
Poweshiek,7002,1245,1078,24,22,2
Clay,6986,1596,1367,17,13,4
Hardin,6948,1494,1307,29,26,3
Wright,6885,1566,1387,21,19,2
Iowa,6711,1173,1031,21,20,1
Delaware,6678,1670,1513,33,31,2
Mills,6674,1320,1162,15,14,1
Kossuth,6443,1590,1378,35,34,1
Floyd,6419,1321,1164,36,28,8
Hamilton,6281,1529,1280,25,25,0
Jefferson,6240,1111,835,22,20,2
Madison,6092,1048,815,9,8,1
Clayton,5791,1456,1238,47,40,7
Butler,5732,1355,1141,23,20,3
O'Brien,5636,1636,1438,53,49,4
Union,5601,1048,917,19,19,0
Harrison,5477,1482,1195,59,56,3
Cass,5246,1082,877,40,38,2
Page,5140,1402,1275,14,13,1
Winnebago,5081,1139,994,28,23,5
Cherokee,5030,1307,1067,25,23,2
Allamakee,5005,1224,982,26,22,4
Hancock,4919,1231,984,24,19,5
Appanoose,4909,1021,865,36,36,0
Grundy,4748,1140,927,21,16,5
Guthrie,4729,990,830,23,18,5
Mitchell,4710,1094,891,31,31,0
Calhoun,4629,1200,1120,9,9,0
Louisa,4558,1107,931,26,22,4
Sac,4509,1065,955,14,14,0
Chickasaw,4434,1071,953,11,10,1
Shelby,4362,977,830,26,26,0
Franklin,4270,961,789,17,16,1
Emmet,4228,1050,863,28,27,1
Humboldt,3999,1006,847,18,15,3
Clarke,3872,728,537,7,7,0
Lyon,3855,1286,1129,28,26,2
Palo Alto,3772,861,731,9,9,0
Howard,3612,773,602,18,14,4
Montgomery,3576,794,577,17,16,1
Greene,3537,662,578,7,7,0
Keokuk,3405,822,712,25,25,0
Lucas,3123,617,380,8,8,0
Monona,3119,576,493,16,15,1
Worth,3053,558,418,3,2,1
Pocahontas,3036,754,623,11,11,0
Adair,3006,639,495,17,13,4
Decatur,2814,455,367,4,4,0
Monroe,2735,730,486,17,16,1
Ida,2701,716,615,29,28,1
Davis,2643,663,557,20,19,1
Van Buren,2240,472,412,12,11,1
Fremont,2235,480,420,5,3,2
Taylor,2147,566,492,9,7,2
Audubon,2105,395,323,8,8,0
Osceola,2058,624,583,8,7,1
Ringgold,1968,384,304,8,7,1
Wayne,1861,399,323,21,17,4
Adams,1308,275,208,3,3,0
