RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19103,0.564694984782321,80745,4603
19179,0.36749692584860879,10582,2269
19049,0.48543117930938547,43093,2272
19023,0.4620126047510215,6263,408
19079,0.48730792662289315,6541,658
19039,0.39989356040447046,3067,690
19139,0.4509656853553347,15485,3755
19153,0.48373697621801817,224801,12308
19045,0.392900988606259,16875,1367
19169,0.49349753390240638,45295,2632
19055,0.4197284110281583,6321,819
19197,0.4475402006049992,4732,890
19013,0.45320358460084739,54250,5223
19017,0.46760035112919959,10701,1018
19113,0.5075692747435004,107062,8007
19175,0.3931051384690793,4563,249
19163,0.3996056504166113,64093,5016
19009,0.4794395924308588,2487,148
19191,0.49492271522184985,9039,855
19149,0.4023910712157922,8081,2050
19081,0.38908748824082786,3696,440
19107,0.3586765567050556,3387,288
19033,0.4797879858657244,18784,1583
19029,0.4594889373636647,5550,348
19065,0.4261068702290076,7823,550
19155,0.38161706327918806,33509,2060
19067,0.4094744917529728,5925,480
19161,0.41610945375990129,3713,332
19027,0.4884205306223655,8861,988
19129,0.3771262161625521,5426,272
19061,0.5088222297581979,47853,1661
19099,0.4420061852897674,14905,1531
19085,0.37511566659548725,4922,348
19167,0.32388466504088367,9667,1622
19193,0.38231157923322375,35001,4418
19097,0.41931169298832246,7789,362
19105,0.46859436197475948,8701,990
19053,0.3064803049555273,2189,223
19109,0.4205090123540134,5699,530
19083,0.43767066365902887,6483,890
19021,0.468144750254842,6259,2926
19087,0.40673549163075076,6605,1511
19057,0.36897887956475997,13567,811
19145,0.40524260276692927,5627,495
19101,0.37004646078163436,6080,690
19187,0.43546680035650628,14331,1304
19091,0.39003975727139569,3381,347
19019,0.40944510035419126,8080,590
19015,0.49485400625142947,12278,704
19069,0.4105263157894737,3780,354
19195,0.39981032380436257,2780,171
19125,0.39800920217724719,11139,2096
19183,0.4395174140678352,8985,669
19181,0.44369098045311469,21593,1242
19137,0.42452354542704448,3690,520
19177,0.3151618398637138,2027,193
19165,0.4668238170071591,5130,217
19003,0.4158800666296502,1443,55
19089,0.3936449006333261,3168,437
19127,0.4741293911453174,16226,2440
19147,0.40209318028359217,3359,214
19111,0.3644115637163146,10820,1445
19011,0.4432053031780074,10494,872
19035,0.4231419670672007,4405,349
19123,0.3264539488572075,6453,760
19115,0.3840507476212053,3231,1007
19007,0.3599710284886528,4069,404
19159,0.41070698814875358,1972,38
19031,0.4679229076072368,8063,653
19051,0.27855555555555558,2354,153
19135,0.363435837550279,2497,304
19171,0.4619674854633915,7005,781
19131,0.38267523143774798,3867,184
19077,0.45551501543642999,4554,315
19133,0.4167150319210679,3380,210
19037,0.42353138355819999,4391,663
19121,0.4105765699596034,6399,309
19075,0.48642903858731198,5495,455
19093,0.37784256559766768,2198,394
19141,0.40289391405511529,5043,498
19001,0.3959731543624161,2523,309
19157,0.4565499351491569,8010,438
19185,0.3173420276354603,1879,165
19095,0.4840583292140386,7186,648
19047,0.4011296076099881,5450,1297
19189,0.41732663704848368,3756,565
19041,0.411963036963037,6235,363
19073,0.4452070207020702,3458,499
19117,0.3553488372093023,2679,377
19025,0.46710798510550269,4199,317
19173,0.3652997876164025,2167,69
19059,0.4616409780971144,7712,255
19043,0.3878283662886774,6248,558
19151,0.40942740595256085,2503,207
19063,0.3995438748913988,3373,306
19005,0.3787535617739461,4971,213
19143,0.36555891238670698,1978,200
19071,0.36048850574712645,2313,196
19119,0.2877073585708209,3220,162
,,39,6
