County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,42668,81268,1123,207726
Linn,23954,40715,3443,107816
Scott,19062,26445,1015,73432
Johnson,15810,38983,273,94500
Black Hawk,15315,26481,2148,70575
Dubuque,12819,20586,314,54290
Pottawattamie,10915,16517,3471,48227
Woodbury,10138,15402,171,40662
Story,9259,14990,396,39512
Cerro Gordo,7183,9522,1014,27103
Dallas,5696,11277,1042,28752
Cass,5576,1814,0,9194
Webster,5272,5487,496,16726
Clinton,5061,4749,102,14661
Des Moines,4953,7189,311,19468
Marshall,4328,2916,1576,11703
Lee,4065,4180,195,12781
Warren,4044,5661,98,15180
Muscatine,4001,3636,1293,12553
Fayette,3666,2405,200,8657
Wapello,3552,4220,0,11986
Bremer,3365,5176,110,13785
Marion,3186,4181,1489,13022
Jasper,3158,5186,101,13383
Boone,2956,3731,97,10468
Allamakee,2884,1529,0,5941
Sioux,2784,4008,1321,12113
Jackson,2715,2838,0,8382
Henry,2697,2037,104,6893
Clay,2348,3814,0,9902
Mahaska,2296,2164,0,6613
Tama,2282,2459,649,7745
Clayton,2281,2346,0,6972
Clarke,2203,729,1107,4749
Poweshiek,2197,2500,0,7200
Winneshiek,2164,2354,1,6868
Emmet,2135,1172,1,4501
Buchanan,2127,2232,0,6585
Cedar,2112,2297,0,6703
Madison,2088,1992,0,6071
Washington,2050,2089,1,6226
Appanoose,2034,1194,0,4408
Dickinson,2023,2925,0,7861
Shelby,2010,1788,33,5617
Jefferson,1995,1853,95,5794
Benton,1994,2857,0,7710
Kossuth,1979,2394,0,6763
Carroll,1968,3294,600,9179
Crawford,1947,2000,1267,7202
Mitchell,1940,1462,0,4866
Hamilton,1830,2345,0,6533
Page,1827,2533,85,6972
Floyd,1805,2083,145,6104
Mills,1798,1793,0,5384
Hardin,1793,2187,0,6157
Buena Vista,1789,2367,2437,9021
O'Brien,1676,2187,0,6061
Wright,1593,1611,1324,6121
Union,1577,1344,0,4264
Grundy,1565,1632,0,4833
Calhoun,1528,1516,0,4557
Franklin,1482,1248,0,3974
Delaware,1474,1619,100,4809
Decatur,1470,722,0,2888
Palo Alto,1437,1170,0,3778
Cherokee,1394,1752,80,4975
Jones,1368,2096,0,5605
Winnebago,1364,1104,0,3570
Davis,1347,981,1477,4775
Guthrie,1290,1444,0,4161
Plymouth,1259,3462,2513,10693
Iowa,1196,2027,0,5246
Hancock,1082,1084,0,3247
Butler,1076,1806,0,4687
Sac,1075,1427,0,3931
Humboldt,1007,1063,0,3130
Taylor,1000,894,0,2784
Lucas,997,1148,96,3381
Louisa,931,1347,1389,5009
Lyon,929,1190,0,3306
Monroe,903,1087,99,3169
Harrison,860,1404,0,3669
Greene,859,1211,100,3379
Adair,858,704,0,2263
Adams,831,584,0,1997
Wayne,780,1256,0,3293
Chickasaw,721,1275,0,3267
Ringgold,702,889,0,2468
Audubon,701,873,0,2448
Howard,684,808,0,2298
Montgomery,683,1190,99,3164
Monona,591,901,0,2386
Keokuk,509,681,0,1869
Pocahontas,507,708,85,2008
Fremont,480,791,0,2062
Osceola,460,703,0,1867
Worth,442,771,0,1980
Ida,434,796,0,2031
Van Buren,343,624,0,1590
Out of State,263,3780,0,7845
