County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,231336,45236,39063,447,404,43
Linn,99443,17620,15807,274,251,23
Scott,73539,15300,13421,163,153,10
Johnson,68211,11999,10515,49,45,4
Black Hawk,59759,13617,12182,236,223,13
Woodbury,51635,12929,11720,175,162,13
Dubuque,49848,11283,10129,149,140,9
Story,47977,8609,7716,34,30,4
Dallas,45709,8801,7435,71,60,11
Pottawattamie,41259,8905,7772,112,99,13
Warren,23452,4363,3498,38,36,2
Cerro Gordo,20753,4629,4131,68,57,11
Webster,19175,4673,4203,71,63,8
Clinton,18778,4473,3908,61,55,6
Muscatine,18371,3847,3342,77,70,7
Des Moines,18088,3793,3346,41,37,4
Marshall,17702,4251,3899,61,56,5
Jasper,15221,3189,2650,58,56,2
Wapello,14445,3403,2900,98,96,2
Sioux,13812,4531,4153,56,54,2
Lee,13577,3127,2693,30,25,5
Buena Vista,13279,3910,3539,29,26,3
Marion,13146,3005,2474,52,45,7
Plymouth,11674,3486,3206,68,62,6
Boone,11629,2160,1719,17,15,2
Benton,10719,2081,1901,44,40,4
Washington,10112,2142,1727,31,30,1
Carroll,9978,2525,2234,34,28,6
Bremer,9964,2417,2189,48,44,4
Henry,9528,2626,2378,30,30,0
Dickinson,8989,1836,1634,26,24,2
Mahaska,8915,1906,1543,36,33,3
Jones,8523,2691,2514,49,48,1
Pending Investigation,8457,918,468,0,0,0
Winneshiek,8399,1535,1279,19,17,2
Buchanan,7986,1579,1368,23,21,2
Fayette,7775,1591,1233,22,20,2
Crawford,7691,2278,2002,22,19,3
Cedar,7689,1504,1290,19,18,1
Jackson,7680,1906,1703,31,30,1
Tama,7236,1853,1652,57,55,2
Poweshiek,7226,1317,1128,24,22,2
Clay,7160,1656,1473,19,15,4
Hardin,7122,1538,1390,29,26,3
Wright,7021,1624,1462,24,22,2
Iowa,6925,1226,1088,22,21,1
Mills,6831,1357,1226,16,15,1
Delaware,6827,1719,1559,36,32,4
Kossuth,6643,1702,1485,43,40,3
Floyd,6611,1376,1214,36,28,8
Jefferson,6478,1194,909,24,21,3
Hamilton,6437,1577,1377,29,28,1
Madison,6378,1179,885,9,8,1
Clayton,5967,1504,1293,48,41,7
Butler,5935,1461,1183,24,21,3
O'Brien,5790,1681,1504,54,50,4
Union,5750,1081,963,22,21,1
Harrison,5631,1540,1310,62,58,4
Cass,5373,1124,950,41,39,2
Page,5264,1436,1318,15,14,1
Winnebago,5220,1182,1051,29,24,5
Cherokee,5218,1379,1146,27,23,4
Allamakee,5125,1266,1076,27,23,4
Appanoose,5092,1090,904,38,38,0
Hancock,5068,1288,1093,24,19,5
Grundy,4895,1195,1006,26,21,5
Guthrie,4847,1022,870,24,19,5
Mitchell,4844,1152,947,34,34,0
Calhoun,4689,1219,1153,9,9,0
Louisa,4686,1141,982,30,25,5
Sac,4622,1101,995,15,15,0
Chickasaw,4559,1105,989,12,11,1
Shelby,4504,1013,877,26,26,0
Franklin,4406,1012,831,18,17,1
Emmet,4362,1100,921,31,30,1
Humboldt,4106,1042,901,19,16,3
Clarke,4024,775,584,7,7,0
Lyon,3968,1333,1178,32,29,3
Palo Alto,3873,900,777,9,9,0
Howard,3742,824,646,19,15,4
Montgomery,3716,840,664,22,21,1
Greene,3611,687,617,7,7,0
Keokuk,3499,843,750,25,25,0
Monona,3229,633,521,16,15,1
Lucas,3226,645,467,8,8,0
Worth,3147,595,470,3,2,1
Adair,3097,684,541,20,16,4
Pocahontas,3084,772,664,11,11,0
Decatur,2909,478,393,4,4,0
Monroe,2867,805,555,18,16,2
Ida,2768,737,658,30,29,1
Davis,2738,684,596,21,20,1
Fremont,2312,502,443,6,4,2
Van Buren,2302,494,428,12,11,1
Taylor,2209,590,517,9,7,2
Audubon,2164,410,352,8,8,0
Osceola,2114,634,596,9,7,2
Ringgold,2029,426,333,9,8,1
Wayne,1905,414,342,21,17,4
Adams,1348,293,231,3,3,0
