RECIP_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,501757,18740,234977,13061
19161,7999,152,3755,337
19027,19485,386,9048,1003
19013,121194,3556,56129,5381
19017,23708,609,11025,1049
19019,17761,391,8369,632
19195,5992,117,2844,187
19033,41366,1141,19260,1705
19081,8142,145,3769,459
19169,99156,3411,46508,2727
19139,37189,1178,15993,4025
19165,10900,217,5229,225
19009,5272,76,2522,152
19191,19913,432,9295,891
19103,175082,4484,82886,4827
19065,17013,427,8000,586
19061,101232,1893,48792,1755
19147,7236,178,3417,223
19183,19599,545,9173,708
19193,79978,3072,36153,4599
19003,3085,72,1476,61
19173,4582,92,2208,74
19041,13444,321,6362,398
19125,25768,706,11465,2132
19123,14487,425,6629,804
19157,17360,450,8228,454
19099,33221,911,15365,1580
19073,7892,210,3584,514
19113,235517,6355,110392,8377
19049,95546,3006,45087,2369
19171,15696,468,7190,847
19109,12636,316,5881,559
19187,31766,1005,14689,1383
19011,22986,589,10749,899
19045,37679,1077,17581,1441
19067,12986,328,6066,526
19189,8473,215,3839,580
19131,8254,154,3949,202
19029,11958,271,5666,354
19135,5529,125,2543,318
19127,37410,1206,16796,2613
19063,7533,350,3435,313
19159,4124,74,2004,42
19115,7931,232,3332,1036
19163,143116,4781,66544,5248
19149,19183,480,8299,2105
19059,16394,432,7845,272
19093,5043,108,2265,405
19015,26933,707,12741,744
19141,10996,224,5125,522
19075,11926,310,5571,474
19091,7414,176,3438,362
19151,5524,111,2600,213
19055,14034,292,6448,846
19101,13721,489,6260,712
19005,10644,296,5060,228
19181,47545,1503,22354,1334
19025,9091,196,4278,339
19083,14360,277,6581,921
19069,8326,195,3879,373
19023,13523,283,6401,438
19133,7192,141,3409,233
19085,10732,354,5008,362
19137,8375,292,3779,525
19111,24682,673,11232,1546
19197,10837,248,4841,907
19179,24865,707,10897,2363
19121,13836,384,6559,334
19143,4339,75,2023,218
19051,5163,140,2431,161
19047,12857,307,5615,1320
19145,12462,452,5738,534
19043,13487,232,6339,577
19057,30240,1167,14094,885
19007,8973,251,4151,419
19107,7366,160,3452,302
19077,9996,271,4694,337
19129,11784,385,5560,279
19021,16550,605,6472,3002
19087,15584,446,6775,1588
19079,14410,344,6696,674
19035,9542,228,4473,368
19001,5608,155,2567,319
19037,9858,194,4487,690
19095,15938,404,7417,700
19167,21894,491,9866,1671
19089,7133,147,3259,468
19119,6797,107,3258,174
19185,4225,115,1970,171
19039,7309,237,3184,704
19097,16559,315,7935,374
19155,74803,2701,34988,2131
19117,5968,140,2716,396
19031,17608,412,8266,663
19175,9914,305,4670,268
19071,5003,127,2339,198
19053,4841,141,2234,232
19177,4450,115,2064,207
19105,19197,359,8905,1028
,88,6,38,6
