County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,59810,93698,1787,250324
Linn,27308,50804,3726,131586
Scott,20086,35100,1712,92877
Johnson,17569,44046,1296,107433
Black Hawk,16166,31602,2997,82624
Dubuque,14913,28266,357,71763
Dallas,11233,13269,1057,38206
Story,10964,19430,411,50102
Pottawattamie,10351,22437,3918,60001
Woodbury,8530,22588,1950,55209
Cerro Gordo,6964,12241,1019,32363
Webster,6348,7128,499,21098
Clinton,5824,6039,856,18748
Warren,4434,7365,103,18973
Des Moines,4408,9552,297,23651
Fayette,4078,4371,200,12999
Cass,4044,4342,0,12755
Muscatine,3849,5242,2419,16772
Marion,3754,5436,2992,17601
Lee,3743,5695,362,15665
Marshall,3593,4699,1834,14785
Bremer,3471,6305,110,16152
Jasper,3361,6287,128,15811
Carroll,3315,4266,599,12456
Boone,3249,4829,101,12961
Jefferson,3069,2689,154,8603
Wapello,2915,5965,55,14903
Winneshiek,2705,3111,1,8930
Sioux,2628,5147,1340,14266
Dickinson,2599,3615,0,9803
Poweshiek,2457,3506,0,9383
Henry,2337,3070,183,8662
Hamilton,2316,2972,0,8270
Clay,2258,4847,0,11884
Washington,2245,2817,1,7876
Page,2196,3120,156,8578
Clarke,2154,1161,1106,5563
Mitchell,2141,1736,0,5613
Madison,2136,2873,0,7882
Kossuth,2118,2881,0,7871
Mahaska,2054,3303,89,8740
Clayton,1987,3368,0,8717
Plymouth,1951,3983,2538,12454
Crawford,1908,2784,1307,8765
Humboldt,1906,1516,0,4965
Benton,1901,3552,0,9008
Greene,1899,1531,100,5065
Hardin,1878,2830,529,8050
Floyd,1857,2979,325,8120
Buchanan,1841,3055,50,7989
Allamakee,1822,3190,0,8198
Cedar,1795,3157,0,8103
Appanoose,1749,1977,30,5716
Shelby,1748,2694,33,7170
Mills,1735,2483,0,6708
Tama,1712,3670,650,9616
Wright,1694,2198,1320,7388
Jackson,1621,4495,0,10602
Grundy,1550,2215,0,5983
Decatur,1505,1108,0,3693
Franklin,1505,1590,0,4679
Buena Vista,1504,3359,2499,10793
Calhoun,1452,2091,0,5629
Delaware,1432,2262,100,6049
Guthrie,1408,1850,0,5095
O'Brien,1408,2817,0,7051
Cherokee,1402,2362,81,6203
Union,1391,2093,0,5573
Winnebago,1378,1649,0,4664
Jones,1358,2599,0,6599
Emmet,1292,2472,1,6288
Lucas,1219,1402,96,4110
Wayne,1199,1460,0,4121
Davis,1145,1568,1477,5750
Palo Alto,1011,1800,0,4631
Louisa,1010,1707,1389,5797
Harrison,981,1766,0,4512
Iowa,962,2775,0,6507
Sac,951,1943,0,4839
Lyon,951,1521,0,3989
Monroe,868,1602,99,4171
Montgomery,859,1570,104,4095
Adams,846,835,0,2512
Butler,830,2368,0,5569
Hancock,784,1674,0,4129
Chickasaw,782,1511,0,3800
Adair,771,1061,0,2877
Taylor,695,1324,0,3342
Ringgold,688,1102,0,2886
Audubon,569,1158,0,2885
Pocahontas,523,908,100,2438
Howard,487,1053,0,2590
Monona,468,1136,2,2733
Van Buren,465,708,0,1880
Fremont,440,943,0,2327
Osceola,433,833,0,2100
Worth,429,943,0,2311
Keokuk,418,874,0,2166
Ida,410,1005,0,2422
Out of State,261,4255,0,8386
