ADMIN_ADDRESS_COUNTY,RECIP_ID,First Dose Given (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,534256,22350,249321,13657
19021,18210,658,6927,3601
19027,20961,553,9546,1140
19049,91419,3362,43436,2570
19181,35614,1252,16734,1064
19013,143685,4606,66302,6272
19033,53161,2008,24528,2023
19169,103325,4307,48446,2932
19195,3494,48,1724,1
19083,13859,278,6087,1347
19189,8524,261,3868,511
19155,97323,4096,43686,4935
19139,33464,1099,13605,5036
19009,4138,37,2000,101
19005,11503,304,5536,119
19099,29333,746,13811,1171
19103,187907,5778,89065,4352
19017,26293,812,12092,1297
19065,21317,487,9938,942
19061,123544,3210,59137,2258
19041,16947,501,8095,312
19147,6915,175,3276,161
19193,93879,4275,42515,4999
19003,3577,73,1652,10
19173,4538,91,2197,24
19175,10219,350,4818,327
19067,13957,298,6257,1128
19063,10202,553,4571,387
19035,9750,222,4611,301
19123,15765,496,7316,588
19183,15364,527,7135,556
19179,25843,857,11940,987
19073,9495,203,4352,515
19113,254948,7555,119805,9042
19019,12977,336,6152,344
19101,16142,605,7277,990
19127,31209,1050,13650,2986
19109,12611,334,5869,503
19187,36620,1501,16732,1378
19037,5999,110,2773,351
19011,15702,360,7434,466
19045,36003,1637,16333,1623
19081,6773,77,2987,722
19131,9084,158,4367,170
19029,21269,477,10062,438
19135,6835,177,3159,306
19059,15799,510,7515,260
19159,4294,86,2072,6
19163,171582,6583,78677,6414
19125,28740,848,11851,4043
19149,17423,432,6979,2993
19015,23416,595,11148,583
19141,11064,265,5215,362
19091,8556,223,3886,411
19151,3992,68,1879,161
19055,10091,218,4563,783
19031,12798,251,6144,291
19167,23012,549,9871,2713
19143,3217,39,1498,184
19161,6598,93,3216,54
19069,7299,160,3435,261
19133,4513,88,2111,219
19075,9792,340,4505,432
19171,17825,531,8110,984
19137,7290,313,3184,586
19111,26853,931,11835,2017
19197,11574,292,4780,1740
19047,14017,374,6014,1592
19077,9136,200,4319,279
19093,3762,92,1582,509
19051,8274,181,3185,1670
19025,8478,88,4084,190
19145,14794,619,6647,851
19057,37994,1793,17709,731
19007,9182,301,4152,487
19157,18915,473,9046,443
19191,17640,523,8042,1063
19023,7885,89,3798,178
19087,16908,519,7187,1963
19001,4783,116,2190,335
19079,14515,253,6846,411
19095,12128,212,5634,629
19119,6119,116,2956,79
19043,12777,189,5937,669
19117,7418,165,3370,425
19039,9973,274,4159,1365
19107,3325,35,1596,100
19165,11844,268,5693,149
19185,6446,174,2885,394
19115,8049,149,3182,1546
19053,6047,167,2830,123
19177,3024,76,1410,126
19121,14161,285,6816,167
19085,7064,240,3277,257
,10377,243,5211,1
19105,13468,266,6110,933
19097,16494,361,7943,264
19129,12277,503,5795,155
19089,4589,130,2143,189
19071,3365,67,1600,98
