Age Group Public,RECIP_ID
0 - 11,47
12 - 15,134589
16 - 17,75058
18 - 19,81471
20 - 29,391720
30 - 39,425999
40 - 49,431468
50 - 59,514607
60 - 64,310794
65+,944975
