County,Series Initiated,Series Completed
Polk,49073,22177
Johnson,19121,13937
Linn,18170,10473
Scott,14921,5928
Black Hawk,12695,5207
Dubuque,9100,5553
Pottawattamie,8692,5881
Woodbury,8072,4137
Story,6602,4369
Cerro Gordo,5769,2488
Dallas,5765,2342
Warren,3686,1429
Des Moines,3478,1594
Webster,3357,1568
Jasper,3216,1716
Clinton,3180,1219
Plymouth,2659,359
Lee,2362,1459
Bremer,2340,2257
Marion,2316,964
Sioux,2272,1037
Wapello,2196,1163
Clay,2086,1170
Marshall,1879,911
Jackson,1832,488
Boone,1818,1477
Kossuth,1772,343
Muscatine,1757,846
Carroll,1651,1436
Benton,1647,833
Winneshiek,1585,756
Fayette,1582,479
Poweshiek,1564,388
Floyd,1529,299
Henry,1468,616
Tama,1445,390
Dickinson,1440,574
Buchanan,1365,633
Mahaska,1329,350
Clayton,1308,515
Cedar,1307,492
Crawford,1266,411
Hardin,1260,597
Hamilton,1258,505
Jones,1212,617
Butler,1193,164
Washington,1180,280
Jefferson,1173,488
Page,1163,709
O'Brien,1158,685
Buena Vista,1150,603
Cass,1148,504
Iowa,1147,348
Madison,1136,277
Grundy,1129,377
Allamakee,1052,353
Franklin,1017,188
Shelby,1005,496
Mills,999,500
Delaware,998,636
Mitchell,992,238
Harrison,983,188
Sac,948,217
Louisa,888,124
Union,853,414
Lyon,832,189
Winnebago,812,210
Appanoose,801,312
Calhoun,788,444
Cherokee,758,569
Guthrie,703,309
Wright,698,501
Monona,690,215
Lucas,689,179
Chickasaw,668,212
Monroe,660,158
Taylor,654,95
Ringgold,648,207
Wayne,645,211
Davis,641,157
Greene,628,263
Hancock,627,313
Out of State,613,3219
Palo Alto,601,443
Fremont,585,111
Worth,571,80
Emmet,564,238
Montgomery,562,354
Audubon,558,315
Osceola,498,139
Decatur,498,215
Adair,486,147
Clarke,450,200
Humboldt,448,308
Ida,406,246
Howard,399,221
Keokuk,398,199
Van Buren,388,104
Pocahontas,385,129
Adams,379,116
