County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,668461,62827,52756,602,536,66
Linn,280120,21566,19318,329,293,36
Black Hawk,207422,16930,14832,306,283,23
Johnson,203701,14793,13200,81,76,5
Scott,201853,20289,17312,234,214,20
Dubuque,183092,14345,12333,202,188,14
Story,157780,11020,9757,47,41,6
Woodbury,141712,16139,14012,220,202,18
Dallas,123934,12161,10360,96,84,12
Pottawattamie,115663,11756,9929,162,143,19
Marshall,80083,5125,4637,74,66,8
Cerro Gordo,74268,5597,4972,86,72,14
Warren,73770,6011,5190,86,76,10
Webster,66927,5355,4916,91,77,14
Clinton,60888,5823,5013,90,78,12
Des Moines,54287,4742,4272,65,54,11
Muscatine,53522,4894,4259,96,87,9
Lee,52262,3908,3583,55,42,13
Jasper,49966,4406,3886,70,65,5
Wapello,45758,4604,4041,120,116,4
Buena Vista,43848,4857,4117,40,36,4
Sioux,43340,5217,4806,73,70,3
Boone,43078,2757,2451,33,31,2
Poweshiek,41564,1597,1479,33,30,3
Marion,41022,3742,3417,75,64,11
Washington,39830,2658,2375,49,45,4
Bremer,38033,2920,2680,60,51,9
Winneshiek,37566,2015,1834,33,28,5
Plymouth,37191,4260,3689,79,71,8
Benton,36137,2650,2397,55,44,11
Carroll,35436,2992,2687,50,43,7
Henry,35202,3006,2781,37,36,1
Fayette,34706,1907,1769,41,36,5
Hardin,33572,1920,1696,42,34,8
Tama,31881,2188,1972,71,67,4
Mahaska,30046,2345,2126,49,44,5
Buchanan,30005,1986,1773,31,26,5
Cedar,29808,1917,1738,23,21,2
Clay,29194,2201,1894,25,20,5
Iowa,28891,1517,1407,24,22,2
Butler,28725,1715,1565,34,30,4
Delaware,27052,2065,1848,39,35,4
Crawford,26792,2854,2537,39,34,5
Dickinson,25851,2581,2100,43,37,6
Kossuth,25421,2238,1974,62,54,8
Jones,25244,3044,2818,55,51,4
O'Brien,25236,2108,1823,60,55,5
Jackson,24946,2305,2077,42,39,3
Floyd,24701,1722,1462,42,32,10
Clayton,24179,1750,1566,55,46,9
Hamilton,22843,1966,1709,49,45,4
Mills,20896,1745,1509,20,17,3
Page,20751,1965,1810,20,18,2
Allamakee,20635,1544,1424,51,41,10
Harrison,20559,1881,1623,73,69,4
Hancock,20537,1530,1357,34,27,7
Cherokee,20451,1667,1466,38,30,8
Wright,20243,1865,1726,35,28,7
Cass,20200,1422,1269,54,48,6
Madison,19914,1669,1467,19,15,4
Jefferson,19912,1417,1269,35,29,6
Sac,19294,1343,1198,19,19,0
Franklin,19022,1223,1081,21,19,2
Grundy,18810,1429,1298,32,27,5
Palo Alto,18098,1156,1012,21,20,1
Guthrie,17957,1257,1089,29,24,5
Calhoun,17870,1379,1304,11,11,0
Monona,17669,865,755,30,28,2
Mitchell,17424,1362,1200,41,38,3
Appanoose,17271,1439,1199,47,43,4
Chickasaw,17005,1292,1199,15,13,2
Winnebago,16960,1460,1299,31,26,5
Louisa,16815,1331,1193,49,42,7
Union,16670,1322,1180,32,26,6
Shelby,16560,1328,1170,37,33,4
Emmet,16475,1357,1137,40,38,2
Howard,16438,1069,990,22,18,4
Lyon,15448,1545,1444,41,37,4
Keokuk,15167,1012,903,30,30,0
Humboldt,15084,1228,1128,26,23,3
Greene,14495,812,736,10,10,0
Montgomery,13940,1079,940,37,35,2
Clarke,12981,1039,946,23,22,1
Worth,12641,747,670,8,7,1
Pocahontas,12463,878,804,21,21,0
Ida,12193,1002,823,33,31,2
Adair,12077,962,803,32,22,10
Audubon,11827,513,465,9,8,1
Pending Investigation,11053,1025,933,0,0,0
Davis,10684,868,751,24,23,1
Decatur,10231,602,574,9,9,0
Monroe,9471,978,885,28,21,7
Ringgold,9464,555,501,23,18,5
Lucas,9076,778,721,22,18,4
Osceola,8472,778,674,16,13,3
Taylor,8345,675,632,12,10,2
Van Buren,8171,581,522,18,15,3
Fremont,7114,646,562,10,8,2
Wayne,6620,558,476,23,18,5
Adams,5411,338,315,4,4,0
