Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.15181711606096133,American Indian or Alaska Native
Asian,0.34069591887682929,Asian
Black,0.17239764255883847,Black
Native Hawaiian or Other Pacific Islander,0.3080766028309742,Native Hawaiian or Other Pacific Islander
Other Race,0.4743465477690543,Other Race
White,0.3952327322075633,White
