Race,* Race Percent Vaccinated,Race
American Indian or Alaska Native,0.14788980070339978,American Indian or Alaska Native
Asian,0.3320177367776602,Asian
Black,0.1669099566761641,Black
Native Hawaiian or Other Pacific Islander,0.3012073272273106,Native Hawaiian or Other Pacific Islander
Other Race,0.4639430066879907,Other Race
White,0.38931334555171595,White
