County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,207688,37530,28005,368,334,34
Linn,90596,15461,11611,215,202,13
Scott,66207,12929,8822,116,110,6
Johnson,61536,10336,8195,42,39,3
Black Hawk,54589,11839,9294,184,172,12
Woodbury,47327,11424,9284,145,136,9
Dubuque,45985,9984,7928,123,116,7
Story,43580,7416,5605,22,21,1
Dallas,40766,7136,5339,60,50,10
Pottawattamie,37439,7455,5051,73,67,6
Warren,20923,3275,2236,24,22,2
Cerro Gordo,18764,4004,2744,49,42,7
Webster,17712,4044,2942,48,42,6
Clinton,16786,3751,2673,48,44,4
Des Moines,16520,3263,2366,26,23,3
Muscatine,16400,3296,2319,63,57,6
Marshall,16087,3753,3021,53,50,3
Jasper,13405,2533,1824,48,46,2
Wapello,12796,2854,2125,87,85,2
Sioux,12560,4058,3283,38,37,1
Buena Vista,12297,3366,2736,18,15,3
Lee,12093,2558,1679,20,16,4
Marion,11562,2314,1691,32,27,5
Plymouth,10685,3104,2375,40,34,6
Boone,10105,1628,1120,14,12,2
Benton,9821,1863,1371,28,25,3
Carroll,9103,2156,1709,22,16,6
Bremer,9063,2124,1558,32,29,3
Washington,8935,1626,1098,23,22,1
Pending Investigation,8832,608,318,0,0,0
Henry,8730,2296,1636,19,19,0
Dickinson,8230,1567,1109,12,10,2
Jones,7911,2473,1957,32,32,0
Mahaska,7799,1456,1062,31,29,2
Winneshiek,7417,1205,760,15,13,2
Buchanan,7286,1324,935,15,14,1
Crawford,7113,1926,1605,16,13,3
Jackson,6934,1670,1272,23,22,1
Fayette,6921,1186,818,14,13,1
Cedar,6920,1242,849,15,14,1
Tama,6617,1629,1326,55,53,2
Poweshiek,6524,1102,832,21,20,1
Wright,6491,1410,1033,10,8,2
Clay,6467,1401,909,10,7,3
Hardin,6453,1316,912,20,18,2
Mills,6291,1198,864,11,11,0
Iowa,6288,1056,753,19,19,0
Delaware,6276,1546,1219,26,25,1
Floyd,6045,1193,786,23,17,6
Kossuth,5974,1361,785,22,21,1
Hamilton,5833,1304,802,21,21,0
Jefferson,5654,845,523,12,11,1
Madison,5560,829,575,8,7,1
Clayton,5354,1256,879,24,20,4
Butler,5338,1152,800,12,11,1
Union,5301,944,564,10,10,0
O'Brien,5218,1455,1095,43,39,4
Harrison,5031,1245,902,49,46,3
Cass,4836,927,647,35,33,2
Page,4827,1274,1050,10,10,0
Winnebago,4767,1027,749,26,22,4
Allamakee,4617,1012,617,18,15,3
Cherokee,4552,1083,644,14,12,2
Hancock,4545,1015,682,21,18,3
Appanoose,4539,873,620,33,33,0
Calhoun,4408,1131,883,8,8,0
Grundy,4390,946,670,14,12,2
Guthrie,4363,842,618,22,17,5
Mitchell,4338,906,590,19,19,0
Louisa,4282,961,711,23,19,4
Sac,4256,970,660,9,9,0
Chickasaw,4137,960,767,9,8,1
Shelby,4031,856,630,19,19,0
Franklin,3913,807,577,17,16,1
Emmet,3869,881,622,23,22,1
Humboldt,3728,858,572,12,10,2
Palo Alto,3573,737,516,2,2,0
Lyon,3553,1140,814,21,19,2
Clarke,3463,550,433,6,6,0
Howard,3318,628,396,15,11,4
Greene,3311,582,415,6,6,0
Montgomery,3239,611,359,13,12,1
Keokuk,3139,720,433,16,16,0
Monona,2918,505,349,12,11,1
Pocahontas,2848,639,445,4,4,0
Adair,2778,509,349,16,12,4
Worth,2770,432,275,2,2,0
Lucas,2725,396,279,6,6,0
Decatur,2555,373,273,2,2,0
Ida,2494,635,395,17,16,1
Davis,2374,572,373,12,11,1
Monroe,2344,504,367,15,15,0
Fremont,2088,424,322,5,3,2
Van Buren,2083,419,311,11,10,1
Taylor,2025,498,385,8,7,1
Osceola,1939,589,446,5,5,0
Audubon,1909,327,252,6,6,0
Ringgold,1822,307,143,5,5,0
Wayne,1715,336,260,21,17,4
Adams,1188,212,142,2,2,0
