RECIP_ADDRESS_COUNTY,* Percent Vaccinated by Resident County (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),2-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd),1-Dose Vaccinations Completed (Merged from datasource: ec049a78-938f-43ce-8c53-e977ad7594bd)
19153,0.5086696003966044,236164,13166
19161,0.4216644378150396,3761,338
19027,0.4994297049342921,9066,1005
19013,0.47041027829426648,56330,5401
19017,0.4834410661559333,11064,1052
19019,0.4264935064935065,8397,634
19195,0.41241024251456445,2855,189
19033,0.49578327444051825,19327,1719
19081,0.39924741298212609,3782,462
19169,0.5087059938012912,46655,2749
19139,0.47070129383086448,16049,4033
19165,0.47764972935219138,5244,227
19009,0.487627365356623,2526,154
19191,0.51188034615577,9340,893
19103,0.581851263728993,83082,4859
19065,0.43760814249363869,8010,589
19061,0.5204858649073589,48877,1772
19147,0.41188386225523296,3435,225
19183,0.4513089005235602,9203,710
19193,0.39720872491683398,36335,4620
19003,0.4275402554136591,1478,62
19173,0.37428524750857708,2215,76
19041,0.42332667332667336,6380,400
19125,0.41015848194147899,11503,2136
19123,0.3378592441728898,6657,808
19157,0.470925205361003,8260,454
19099,0.45792658329971766,15441,1587
19073,0.4623087308730873,3595,514
19113,0.5259631416901185,110802,8437
19049,0.5099996789830182,45273,2388
19171,0.4775127566156402,7199,849
19109,0.4356983730506987,5892,562
19187,0.4491421568627451,14741,1385
19011,0.45568336907779297,10785,901
19045,0.41116543539598096,17638,1452
19067,0.4230277458125559,6080,537
19189,0.42766080741742326,3847,581
19131,0.39467220857736637,3971,207
19029,0.47000623247117487,5678,355
19135,0.37277799403140007,2549,324
19127,0.49536437298381977,16868,2634
19063,0.4082319721980886,3445,314
19159,0.41908459337964856,2009,42
19115,0.397009515178976,3339,1042
19163,0.4167442452137409,66811,5262
19149,0.41410811454899318,8317,2109
19059,0.47195503534592656,7872,273
19093,0.38965014577259479,2267,406
19015,0.5152855073568652,12770,748
19141,0.4119101286991929,5142,523
19075,0.4950948332243296,5578,478
19091,0.39945595312826956,3454,364
19151,0.42619731077201997,2603,218
19055,0.4298395156075481,6465,847
19101,0.3830008198961465,6295,712
19005,0.38759406736319138,5075,230
19181,0.4622663506003964,22442,1349
19025,0.47889946214315268,4286,344
19083,0.4468716609284103,6603,925
19069,0.42323733862959286,3888,374
19023,0.47503289701502879,6418,441
19133,0.4232153221125943,3411,235
19085,0.3830877642536835,5020,362
19137,0.43521226177271357,3789,527
19111,0.3816442344831684,11289,1556
19197,0.4589237382582391,4855,910
19179,0.38153793359832996,10960,2382
19121,0.42343004039662138,6581,337
19143,0.3771399798590131,2027,220
19051,0.28844444444444447,2433,163
19047,0.4135552913198573,5635,1321
19145,0.416561858740981,5755,538
19043,0.3946663627557126,6343,583
19057,0.38596761362178258,14153,887
19007,0.3686624818928054,4162,419
19107,0.3681436658208081,3470,302
19077,0.4721676489849378,4708,339
19129,0.38791448805347808,5582,279
19021,0.48521916411824669,6516,3004
19087,0.41996592161972537,6782,1598
19079,0.5005076829350843,6718,676
19035,0.43168669336893636,4479,371
19001,0.404082774049217,2569,321
19037,0.4352635548479008,4501,693
19095,0.5032748393475037,7443,702
19167,0.3321474680820542,9899,1678
19089,0.4078401397685084,3265,470
19119,0.29247128881327097,3263,175
19185,0.3327123117528334,1971,172
19039,0.4161788185204896,3202,708
19097,0.42836565666958179,7950,377
19155,0.4001244555071562,35161,2133
19117,0.36372093023255816,2728,400
19031,0.4816663982391153,8305,667
19175,0.40503226860550609,4688,270
19071,0.3653735632183908,2345,198
19053,0.31537484116899619,2249,233
19177,0.32325383304940377,2068,209
19105,0.48111793433586388,8917,1033
,,38,6
