County,Total Tests,Total Positive Tests,Total Recovered,Total Deaths,Underlying Cause Deaths,Contributing Factor Deaths
Polk,749963,65696,57418,642,563,79
Linn,315852,22677,20722,340,304,36
Scott,234017,21754,20017,248,224,24
Black Hawk,230168,17756,15634,314,290,24
Johnson,227893,15522,14488,85,77,8
Dubuque,205890,14843,13245,211,195,16
Story,171048,11489,10635,48,42,6
Woodbury,156504,16557,14993,230,211,19
Dallas,137074,12639,11148,99,85,14
Pottawattamie,127257,12371,11028,175,152,23
Marshall,87721,5256,4787,76,68,8
Cerro Gordo,84341,5993,5401,97,80,17
Warren,83800,6353,5719,92,82,10
Webster,73421,5470,5042,94,79,15
Clinton,69721,6097,5513,93,79,14
Des Moines,62054,5057,4596,73,61,12
Muscatine,60766,5229,4763,106,97,9
Lee,58777,4087,3752,57,44,13
Jasper,55653,4564,4136,73,67,6
Wapello,50802,4712,4203,122,118,4
Sioux,48553,5358,5091,74,71,3
Poweshiek,48107,1651,1538,36,33,3
Buena Vista,47361,4974,4222,40,36,4
Boone,46936,2873,2651,34,31,3
Marion,45495,3867,3589,76,65,11
Washington,44720,2748,2506,51,47,4
Bremer,42758,3027,2806,62,52,10
Winneshiek,42507,2073,1936,35,30,5
Plymouth,40728,4343,3944,81,73,8
Benton,40339,2777,2520,55,44,11
Carroll,39244,3084,2820,52,43,9
Henry,39108,3108,2903,37,36,1
Fayette,38620,1957,1817,43,38,5
Hardin,37854,2010,1829,44,34,10
Tama,34814,2253,2036,71,67,4
Cedar,33935,2018,1887,23,21,2
Buchanan,33914,2058,1890,34,27,7
Mahaska,33660,2438,2264,51,46,5
Clay,32882,2281,2134,27,22,5
Iowa,31684,1563,1478,24,22,2
Delaware,31347,2159,2064,43,38,5
Butler,31320,1759,1621,35,31,4
Crawford,30019,2930,2643,41,35,6
Dickinson,29209,2686,2450,44,38,6
Jones,28672,3140,2953,57,51,6
Kossuth,28091,2286,2101,66,57,9
Jackson,28072,2387,2208,42,39,3
Floyd,27760,1820,1583,42,32,10
O'Brien,27607,2153,1941,61,56,5
Clayton,27382,1798,1658,57,48,9
Hamilton,24713,2011,1765,51,46,5
Hancock,23502,1602,1463,34,27,7
Allamakee,22927,1589,1471,52,42,10
Page,22927,2012,1921,22,20,2
Jefferson,22737,1459,1306,35,29,6
Madison,22652,1790,1625,19,15,4
Harrison,22487,1937,1725,73,69,4
Mills,22409,1809,1609,24,21,3
Cherokee,22347,1699,1552,38,30,8
Sac,21986,1396,1292,20,19,1
Wright,21881,1934,1820,40,33,7
Cass,21855,1477,1341,55,49,6
Franklin,21752,1345,1197,23,21,2
Grundy,20378,1454,1337,33,27,6
Guthrie,20095,1318,1200,32,26,6
Palo Alto,20075,1196,1110,23,22,1
Calhoun,19834,1444,1375,13,12,1
Mitchell,19366,1378,1232,43,40,3
Appanoose,19362,1470,1238,49,44,5
Winnebago,19191,1561,1406,31,26,5
Monona,19015,898,808,31,29,2
Chickasaw,18877,1320,1233,17,14,3
Louisa,18769,1365,1247,49,42,7
Union,18549,1383,1260,35,27,8
Shelby,18318,1380,1281,37,33,4
Emmet,18186,1438,1309,41,39,2
Howard,17923,1101,1023,22,18,4
Lyon,17589,1602,1549,41,37,4
Keokuk,16713,1038,933,32,31,1
Humboldt,16286,1246,1170,26,23,3
Greene,15827,830,770,11,10,1
Montgomery,15115,1116,999,38,36,2
Worth,14611,806,750,8,7,1
Pocahontas,14465,902,839,22,22,0
Clarke,14436,1073,982,24,22,2
Audubon,14008,553,506,11,10,1
Ida,13266,1029,874,35,32,3
Adair,12858,996,842,32,22,10
Davis,12065,925,823,25,23,2
Decatur,11022,633,608,9,9,0
Ringgold,10703,582,540,24,18,6
Monroe,10449,1011,928,32,24,8
Lucas,10191,808,759,23,18,5
Osceola,9788,816,774,17,14,3
Taylor,9510,690,654,12,10,2
Van Buren,9224,591,545,18,15,3
Pending Investigation,8120,984,948,0,0,0
Fremont,8056,663,621,9,7,2
Wayne,7817,585,520,23,18,5
Adams,6239,356,341,4,4,0
