County,Series Initiated,Series Completed
Polk,36817,15158
Johnson,13478,11456
Linn,13229,6805
Scott,8603,4140
Black Hawk,8573,3392
Pottawattamie,6559,4152
Dubuque,5900,3824
Story,4957,2900
Woodbury,4306,3155
Dallas,4056,1533
Cerro Gordo,3626,2141
Webster,2901,1051
Jasper,2068,940
Clay,1971,783
Warren,1949,1023
Lee,1884,816
Bremer,1596,1312
Des Moines,1572,1239
Wapello,1566,702
Carroll,1490,842
Sioux,1430,745
Clinton,1414,871
Boone,1273,682
Marshall,1080,667
Marion,1041,853
Jones,966,306
Muscatine,944,735
Mills,896,289
Cedar,799,296
Plymouth,793,347
Kossuth,767,228
Page,752,531
Hardin,736,437
O'Brien,728,489
Jackson,724,343
Delaware,712,427
Harrison,698,159
Tama,683,199
Benton,660,501
Winneshiek,650,579
Butler,629,146
Calhoun,603,283
Dickinson,580,477
Fayette,562,363
Clayton,559,304
Buena Vista,550,428
Shelby,549,393
Iowa,540,323
Franklin,527,164
Crawford,526,318
Allamakee,507,225
Monroe,499,118
Henry,493,440
Mahaska,483,264
Jefferson,475,352
Poweshiek,465,256
Washington,463,164
Ida,457,128
Wayne,448,201
Guthrie,447,219
Wright,427,355
Winnebago,427,139
Floyd,423,247
Grundy,419,262
Madison,411,244
Hamilton,395,366
Humboldt,394,242
Ringgold,391,168
Appanoose,390,183
Fremont,378,92
Cherokee,363,466
Buchanan,356,461
Worth,353,49
Audubon,350,126
Lyon,343,163
Sac,339,166
Mitchell,335,200
Clarke,328,181
Decatur,325,136
Monona,319,192
Montgomery,314,290
Howard,314,176
Taylor,307,49
Union,296,341
Lucas,283,100
Greene,282,149
Louisa,264,70
Emmet,246,226
Cass,244,493
Palo Alto,234,363
Van Buren,222,72
Osceola,218,117
Davis,207,121
Adams,188,83
Keokuk,166,154
Chickasaw,165,177
Adair,149,113
Hancock,99,276
Pocahontas,79,118
.,0,0
