County,Two-Dose Series Initiated,Two-Dose Series Completed,Single-Dose Series Completed,Total Doses Administered
Polk,21032,246251,13119,526259
Linn,7107,118752,8861,252214
Scott,6215,77808,6281,169343
Johnson,5608,88412,4302,186343
Black Hawk,4328,65538,6192,141810
Story,4154,48000,2840,102205
Woodbury,3838,41977,4936,92305
Pottawattamie,3773,43244,4867,96048
Dallas,3034,42941,2497,90037
Dubuque,2919,58723,2224,122392
Cerro Gordo,1812,24304,1975,52470
Des Moines,1654,17514,722,37451
Clinton,1491,16102,1598,35366
Webster,1291,16582,1349,36065
Warren,1123,16594,1030,35177
Muscatine,1022,13456,4975,33030
Marshall,991,13431,2919,30652
Lee,820,11700,1959,26416
Bremer,763,11988,1266,26001
Wapello,756,11799,947,25421
Marion,721,11745,4039,28393
Jasper,697,13663,1156,28977
Buena Vista,642,6797,3591,17924
Page,601,6583,848,14646
Jefferson,564,7201,974,15934
Boone,559,11006,576,23095
Emmet,543,4548,385,10143
Tama,533,8052,984,17703
Sioux,500,9787,2679,22761
Carroll,498,9471,1118,20734
Washington,493,7059,551,15168
Mills,484,5757,150,12176
Winneshiek,479,7962,1062,17434
Henry,466,7107,1945,16676
Mahaska,461,7248,573,15579
Fayette,453,9877,929,21150
Dickinson,452,7445,255,15596
Clay,450,8037,298,16768
Poweshiek,445,8986,431,18756
Cass,429,10017,431,21122
Plymouth,374,6918,2974,17227
Benton,347,7397,464,15613
Kossuth,324,5808,498,12477
Crawford,314,5957,1592,13845
Union,311,4775,317,10084
Jackson,290,7887,260,16310
Grundy,289,4472,411,9656
Allamakee,288,5505,118,11423
Montgomery,287,3154,581,7195
Madison,273,6783,161,14073
Buchanan,271,6112,341,12832
Appanoose,259,4125,480,9081
Wright,258,4761,1721,11481
Clarke,245,4132,1367,9890
Shelby,245,5655,144,11740
Out of State,245,5210,1,10375
Floyd,244,6213,1072,13760
Jones,235,6067,906,13327
O'Brien,234,5180,353,10955
Harrison,233,3266,255,7033
Cedar,221,6120,287,12716
Hamilton,221,6796,411,14382
Winnebago,220,3836,506,8415
Cherokee,214,4569,286,9645
Humboldt,209,3868,395,8489
Hardin,201,6057,1347,13721
Iowa,201,5613,621,12068
Delaware,197,4539,778,10018
Greene,191,4336,508,9444
Clayton,175,5928,667,12743
Guthrie,170,4290,273,9043
Wayne,169,2870,385,6402
Davis,161,3154,1667,8194
Palo Alto,151,3266,153,6861
Decatur,150,2816,123,6001
Lucas,149,3336,406,7317
Louisa,147,3168,1534,8007
Mitchell,142,4337,165,9001
Monroe,138,3139,305,6754
Franklin,122,3417,254,7219
Adair,116,2177,333,4755
Lyon,112,2939,78,6079
Chickasaw,108,2761,345,5967
Howard,103,2130,186,4533
Sac,88,3211,51,6580
Butler,85,3792,177,7867
Ida,78,1575,503,3728
Calhoun,78,4081,187,8460
Hancock,74,2974,721,6744
Taylor,73,2186,22,4496
Van Buren,73,1407,119,3008
Adams,72,1642,10,3556
Monona,72,2105,213,4479
Ringgold,69,2059,6,4251
Pocahontas,64,1868,157,3962
Fremont,61,1597,98,3353
Worth,38,1716,1,3468
Osceola,31,1488,178,3184
Keokuk,24,1594,100,3310
Audubon,22,2000,101,4123
